arm,metric,target_x,target_y,lag_hours_y_after_x,observed_value,scenario_value,difference,n_observed_pairs,n_scenario_pairs
cross_hourly__gaussian,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384151,0.7246492457700052,-0.21173516416840987,4853,485300
cross_hourly__gaussian,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.5857559987051769,-0.1975221060519613,4853,485300
cross_hourly__gaussian,spearman_rho,activation_volume,activation_volume,1,0.46886524499604004,0.1519300732552326,-0.31693517174080743,4853,485300
cross_hourly__gaussian,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.33933649289099527,0.08095384989296767,507,50640
cross_hourly__empirical,spearman_rho,day_ahead_price,capacity_price,0,0.40412428709866505,0.3651305477509551,-0.038993739347709944,5064,506400
cross_hourly__empirical,spearman_rho,day_ahead_price,capacity_price,1,0.37191554000304194,0.34781448321799174,-0.0241010567850502,4853,485300
cross_hourly__empirical,spearman_rho,day_ahead_price,activation_volume,0,-0.14447317533750653,-0.06931275723505247,0.07516041810245407,5064,506400
cross_hourly__empirical,spearman_rho,day_ahead_price,activation_volume,1,-0.18818550289917593,-0.09952162306409451,0.08866387983508142,4853,485300
cross_hourly__empirical,spearman_rho,capacity_price,activation_volume,0,-0.04987933514061485,-0.013930251901906283,0.03594908323870857,5064,506400
cross_hourly__empirical,spearman_rho,capacity_price,activation_volume,1,-0.04571657867105762,-0.027701274797214497,0.018015303873843123,4853,485300
cross_hourly__empirical,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384151,0.8591845138705796,-0.0771998960678355,4853,485300
cross_hourly__empirical,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.7014003873768754,-0.08187771738026284,4853,485300
cross_hourly__empirical,spearman_rho,activation_volume,activation_volume,1,0.46886524499604004,0.4169976741830306,-0.05186757081300947,4853,485300
cross_hourly__empirical,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.3413116890811067,0.0829290460830791,507,50637
own_pooled__independent,spearman_rho,day_ahead_price,capacity_price,0,0.40412428709866505,0.21933152596402083,-0.1847927611346442,5064,506400
own_pooled__independent,spearman_rho,day_ahead_price,capacity_price,1,0.37191554000304194,0.18124556296075095,-0.190669977042291,4853,485300
own_pooled__independent,spearman_rho,day_ahead_price,activation_volume,0,-0.14447317533750653,-0.11100396033616478,0.03346921500134176,5064,506400
own_pooled__independent,spearman_rho,day_ahead_price,activation_volume,1,-0.18818550289917593,-0.13910086948307246,0.049084633416103474,4853,485300
own_pooled__independent,spearman_rho,capacity_price,activation_volume,0,-0.04987933514061485,-0.04671567102606722,0.003163664114547632,5064,506400
own_pooled__independent,spearman_rho,capacity_price,activation_volume,1,-0.04571657867105762,-0.06556944842134052,-0.0198528697502829,4853,485300
own_pooled__independent,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384151,0.46181636473046594,-0.47456804520794915,4853,485300
own_pooled__independent,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.4255945268825681,-0.3576835778745701,4853,485300
own_pooled__independent,spearman_rho,activation_volume,activation_volume,1,0.46886524499604004,0.11421319905455521,-0.3546520459414848,4853,485300
own_pooled__independent,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.23045023696682465,-0.02793240603120295,507,50640
own_pooled__gaussian,spearman_rho,day_ahead_price,capacity_price,0,0.40412428709866505,0.3821012950434178,-0.02202299205524727,5064,506400
own_pooled__gaussian,spearman_rho,day_ahead_price,capacity_price,1,0.37191554000304194,0.34983803190411006,-0.022077508098931886,4853,485300
own_pooled__gaussian,spearman_rho,day_ahead_price,activation_volume,0,-0.14447317533750653,-0.09651641651540785,0.04795675882209868,5064,506400
own_pooled__gaussian,spearman_rho,day_ahead_price,activation_volume,1,-0.18818550289917593,-0.12538433400587312,0.06280116889330281,4853,485300
own_pooled__gaussian,spearman_rho,capacity_price,activation_volume,0,-0.04987933514061485,-0.0412892712121963,0.008590063928418552,5064,506400
own_pooled__gaussian,spearman_rho,capacity_price,activation_volume,1,-0.04571657867105762,-0.0560235793837214,-0.010307000712663779,4853,485300
own_pooled__gaussian,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384151,0.7616156946505219,-0.17476871528789317,4853,485300
own_pooled__gaussian,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.6163824228386916,-0.16689568191844661,4853,485300
own_pooled__gaussian,spearman_rho,activation_volume,activation_volume,1,0.46886524499604004,0.14076794865436004,-0.32809729634168,4853,485300
own_pooled__gaussian,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.3286729857819905,0.0702903427839629,507,50640
own_pooled__empirical,spearman_rho,day_ahead_price,capacity_price,0,0.40412428709866505,0.40656378553590394,0.002439498437238896,5064,506400
own_pooled__empirical,spearman_rho,day_ahead_price,capacity_price,1,0.37191554000304194,0.37104914580153703,-0.0008663942015049164,4853,485300
own_pooled__empirical,spearman_rho,day_ahead_price,activation_volume,0,-0.14447317533750653,-0.09503425318990537,0.049438922147601164,5064,506400
own_pooled__empirical,spearman_rho,day_ahead_price,activation_volume,1,-0.18818550289917593,-0.12409007467217906,0.06409542822699688,4853,485300
