spec,target,month,interval_level,coverage,coverage_deviation,average_width,n_valid
own_hourly,day_ahead_price,2026-01,0.9,0.9791666666666666,0.07916666666666661,97.88177170703808,96
own_hourly,day_ahead_price,2026-02,0.9,0.8125,-0.08750000000000002,73.26281528644806,672
own_hourly,day_ahead_price,2026-03,0.9,0.553763440860215,-0.346236559139785,98.25262141127679,744
own_hourly,day_ahead_price,2026-04,0.9,0.7958333333333333,-0.10416666666666674,132.2267928299918,720
own_hourly,day_ahead_price,2026-05,0.9,0.8602150537634409,-0.03978494623655915,118.00601464111148,744
own_hourly,day_ahead_price,2026-06,0.9,0.7986111111111112,-0.10138888888888886,109.51630178881898,720
own_hourly,day_ahead_price,2026-07,0.9,0.7983870967741935,-0.10161290322580652,107.63305647855285,744
own_hourly,day_ahead_price,2026-08,0.9,0.7435897435897436,-0.1564102564102564,111.59857131450921,624
own_hourly,capacity_price,2026-01,0.9,0.7916666666666666,-0.10833333333333339,60.15429504108614,96
own_hourly,capacity_price,2026-02,0.9,0.7886904761904762,-0.11130952380952386,42.81525494508275,672
own_hourly,capacity_price,2026-03,0.9,0.7728494623655914,-0.12715053763440864,45.67190875112359,744
own_hourly,capacity_price,2026-04,0.9,0.8222222222222222,-0.07777777777777783,47.78540386053005,720
own_hourly,capacity_price,2026-05,0.9,0.8467741935483871,-0.0532258064516129,47.61302847636094,744
own_hourly,capacity_price,2026-06,0.9,0.8791666666666667,-0.02083333333333337,34.73159978105523,720
own_hourly,capacity_price,2026-07,0.9,0.8723118279569892,-0.027688172043010773,36.298445283515484,744
own_hourly,capacity_price,2026-08,0.9,0.8493589743589743,-0.05064102564102568,25.689006153353333,624
cross_hourly,day_ahead_price,2026-01,0.9,0.9791666666666666,0.07916666666666661,101.02644433515768,96
cross_hourly,day_ahead_price,2026-02,0.9,0.8258928571428571,-0.07410714285714293,84.75651088480704,672
cross_hourly,day_ahead_price,2026-03,0.9,0.553763440860215,-0.346236559139785,102.60227438102386,744
cross_hourly,day_ahead_price,2026-04,0.9,0.7486111111111111,-0.1513888888888889,128.90855108708763,720
cross_hourly,day_ahead_price,2026-05,0.9,0.793010752688172,-0.10698924731182802,125.31025852643616,744
cross_hourly,day_ahead_price,2026-06,0.9,0.7986111111111112,-0.10138888888888886,115.99098229418907,720
cross_hourly,day_ahead_price,2026-07,0.9,0.8024193548387096,-0.09758064516129039,112.32255756247096,744
cross_hourly,day_ahead_price,2026-08,0.9,0.7355769230769231,-0.1644230769230769,121.46375929389852,624
cross_hourly,capacity_price,2026-01,0.9,0.8333333333333334,-0.06666666666666665,60.12646331466869,96
cross_hourly,capacity_price,2026-02,0.9,0.7455357142857143,-0.15446428571428572,37.57128091799774,672
cross_hourly,capacity_price,2026-03,0.9,0.6424731182795699,-0.25752688172043015,57.534186223056686,744
cross_hourly,capacity_price,2026-04,0.9,0.7541666666666667,-0.14583333333333337,53.206102770655704,720
cross_hourly,capacity_price,2026-05,0.9,0.8118279569892473,-0.08817204301075277,51.866829103117205,744
cross_hourly,capacity_price,2026-06,0.9,0.7930555555555555,-0.10694444444444451,36.55818477083358,720
cross_hourly,capacity_price,2026-07,0.9,0.8776881720430108,-0.022311827956989272,36.69873796764293,744
cross_hourly,capacity_price,2026-08,0.9,0.8605769230769231,-0.039423076923076894,29.512018184506015,624
own_pooled,day_ahead_price,2026-01,0.9,1.0,0.09999999999999998,105.10527700806658,96
own_pooled,day_ahead_price,2026-02,0.9,0.8139880952380952,-0.08601190476190479,71.42245226342318,672
own_pooled,day_ahead_price,2026-03,0.9,0.5806451612903226,-0.3193548387096774,100.88676883727085,744
own_pooled,day_ahead_price,2026-04,0.9,0.8777777777777778,-0.022222222222222254,160.5800741879761,720
own_pooled,day_ahead_price,2026-05,0.9,0.9005376344086021,0.0005376344086021057,111.35549251896286,744
own_pooled,day_ahead_price,2026-06,0.9,0.7916666666666666,-0.10833333333333339,104.4335085036295,720
own_pooled,day_ahead_price,2026-07,0.9,0.8655913978494624,-0.03440860215053765,125.88395673796077,744
own_pooled,day_ahead_price,2026-08,0.9,0.8557692307692307,-0.044230769230769296,120.78514065582812,624
own_pooled,capacity_price,2026-01,0.9,0.90625,0.006249999999999978,57.74624739270123,96
own_pooled,capacity_price,2026-02,0.9,0.9092261904761905,0.009226190476190443,39.04697247627719,672
own_pooled,capacity_price,2026-03,0.9,0.7688172043010753,-0.13118279569892477,44.478399222496456,744
own_pooled,capacity_price,2026-04,0.9,0.8097222222222222,-0.09027777777777779,47.24715626232879,720
own_pooled,capacity_price,2026-05,0.9,0.8924731182795699,-0.007526881720430145,47.79823749844468,744
own_pooled,capacity_price,2026-06,0.9,0.8652777777777778,-0.03472222222222221,30.29343738239686,720
own_pooled,capacity_price,2026-07,0.9,0.9059139784946236,0.005913978494623606,32.58061693254564,744
own_pooled,capacity_price,2026-08,0.9,0.8397435897435898,-0.060256410256410264,18.78604817440886,624
cross_pooled,day_ahead_price,2026-01,0.9,0.9895833333333334,0.08958333333333335,101.2990128070116,96
cross_pooled,day_ahead_price,2026-02,0.9,0.8333333333333334,-0.06666666666666665,74.59750445913524,672
cross_pooled,day_ahead_price,2026-03,0.9,0.5967741935483871,-0.3032258064516129,104.99157860938087,744
cross_pooled,day_ahead_price,2026-04,0.9,0.9027777777777778,0.002777777777777768,173.46657663123887,720
cross_pooled,day_ahead_price,2026-05,0.9,0.8696236559139785,-0.030376344086021523,107.63762093378251,744
cross_pooled,day_ahead_price,2026-06,0.9,0.8013888888888889,-0.0986111111111111,102.97184414005993,720
cross_pooled,day_ahead_price,2026-07,0.9,0.8978494623655914,-0.0021505376344086446,132.10822167295703,744
cross_pooled,day_ahead_price,2026-08,0.9,0.8701923076923077,-0.029807692307692313,118.25738071459091,624
cross_pooled,capacity_price,2026-01,0.9,0.90625,0.006249999999999978,54.71117709470889,96
cross_pooled,capacity_price,2026-02,0.9,0.8809523809523809,-0.01904761904761909,33.21141955212295,672
cross_pooled,capacity_price,2026-03,0.9,0.7741935483870968,-0.12580645161290327,54.13255527932779,744
cross_pooled,capacity_price,2026-04,0.9,0.7791666666666667,-0.12083333333333335,45.20384116198772,720
cross_pooled,capacity_price,2026-05,0.9,0.8723118279569892,-0.027688172043010773,42.72353870040143,744
cross_pooled,capacity_price,2026-06,0.9,0.8347222222222223,-0.06527777777777777,29.270683827215894,720
cross_pooled,capacity_price,2026-07,0.9,0.9032258064516129,0.003225806451612856,32.96662052580533,744
cross_pooled,capacity_price,2026-08,0.9,0.8333333333333334,-0.06666666666666665,19.11221442905059,624
