spec,target,mean_pinball,sample_crps,pit_ks_distance,n_valid,pinball_by_quantile,interval_level,coverage,average_width
cross_hourly,day_ahead_price,8.149230636789584,22.52848098686262,0.14652448657187989,5064,1.805617;2.171104;3.237248;4.983947;7.672810;11.168569;12.740025;13.644158;14.135184;14.151181;13.776618;12.248992;8.766272;6.072760;4.658979;3.796079;3.507378,0.9,0.7545418641390206,112.93658592304621
cross_hourly,day_ahead_price,8.149230636789584,22.52848098686262,0.14652448657187989,5064,1.805617;2.171104;3.237248;4.983947;7.672810;11.168569;12.740025;13.644158;14.135184;14.151181;13.776618;12.248992;8.766272;6.072760;4.658979;3.796079;3.507378,0.98,0.7871248025276462,124.7238698658876
cross_hourly,capacity_price,2.813044499357733,7.941431861393216,0.1372432859399684,5064,0.317320;0.374321;0.546321;0.841951;1.465438;2.663443;3.746466;4.552454;5.074585;5.471970;5.607462;5.356311;4.344063;3.004860;2.006244;1.333150;1.115400,0.5,0.4682069510268562,16.558967862724064
cross_hourly,capacity_price,2.813044499357733,7.941431861393216,0.1372432859399684,5064,0.317320;0.374321;0.546321;0.841951;1.465438;2.663443;3.746466;4.552454;5.074585;5.471970;5.607462;5.356311;4.344063;3.004860;2.006244;1.333150;1.115400,0.8,0.7162322274881516,34.41142373469035
cross_hourly,capacity_price,2.813044499357733,7.941431861393216,0.1372432859399684,5064,0.317320;0.374321;0.546321;0.841951;1.465438;2.663443;3.746466;4.552454;5.074585;5.471970;5.607462;5.356311;4.344063;3.004860;2.006244;1.333150;1.115400,0.9,0.7833728278041074,43.98974014271454
cross_hourly,capacity_price,2.813044499357733,7.941431861393216,0.1372432859399684,5064,0.317320;0.374321;0.546321;0.841951;1.465438;2.663443;3.746466;4.552454;5.074585;5.471970;5.607462;5.356311;4.344063;3.004860;2.006244;1.333150;1.115400,0.98,0.8155608214849921,51.56217163122432
cross_hourly,activation_volume,2.8146736939791284,7.835046638410149,0.04541864139020535,5064,0.060976;0.118553;0.292000;0.581296;1.155418;2.277376;3.327983;4.238062;4.993446;5.520162;5.760802;5.569877;4.703909;3.611487;2.529768;1.696882;1.411456,0.5,0.5019747235387045,14.950697881661052
cross_hourly,activation_volume,2.8146736939791284,7.835046638410149,0.04541864139020535,5064,0.060976;0.118553;0.292000;0.581296;1.155418;2.277376;3.327983;4.238062;4.993446;5.520162;5.760802;5.569877;4.703909;3.611487;2.529768;1.696882;1.411456,0.8,0.8031200631911533,36.609967601394985
cross_hourly,activation_volume,2.8146736939791284,7.835046638410149,0.04541864139020535,5064,0.060976;0.118553;0.292000;0.581296;1.155418;2.277376;3.327983;4.238062;4.993446;5.520162;5.760802;5.569877;4.703909;3.611487;2.529768;1.696882;1.411456,0.9,0.8900078988941548,51.39378282150898
cross_hourly,activation_volume,2.8146736939791284,7.835046638410149,0.04541864139020535,5064,0.060976;0.118553;0.292000;0.581296;1.155418;2.277376;3.327983;4.238062;4.993446;5.520162;5.760802;5.569877;4.703909;3.611487;2.529768;1.696882;1.411456,0.98,0.9395734597156398,63.02956078021171
cross_hourly,activation_price,23.44958966214015,63.10196309667419,0.0661622530474989,4758,1.052322;1.864972;4.257407;7.650252;13.521628;22.434567;29.042381;34.039594;37.587943;40.077841;41.504124;41.498599;38.951875;34.172661;25.768440;15.178131;10.040287,0.5,0.4558638083228247,71.57442979669311
cross_hourly,activation_price,23.44958966214015,63.10196309667419,0.0661622530474989,4758,1.052322;1.864972;4.257407;7.650252;13.521628;22.434567;29.042381;34.039594;37.587943;40.077841;41.504124;41.498599;38.951875;34.172661;25.768440;15.178131;10.040287,0.8,0.7639764606977721,216.30983384805873
cross_hourly,activation_price,23.44958966214015,63.10196309667419,0.0661622530474989,4758,1.052322;1.864972;4.257407;7.650252;13.521628;22.434567;29.042381;34.039594;37.587943;40.077841;41.504124;41.498599;38.951875;34.172661;25.768440;15.178131;10.040287,0.9,0.8684321143337537,406.2184900171685
cross_hourly,activation_price,23.44958966214015,63.10196309667419,0.0661622530474989,4758,1.052322;1.864972;4.257407;7.650252;13.521628;22.434567;29.042381;34.039594;37.587943;40.077841;41.504124;41.498599;38.951875;34.172661;25.768440;15.178131;10.040287,0.98,0.942833123160992,910.3995905258358
own_pooled,day_ahead_price,7.246697302795492,20.7020568537247,0.06398104265402849,5064,0.993772;1.421651;2.663353;4.460720;7.100089;10.427053;12.232051;13.209483;13.467578;13.117133;12.126568;10.454292;7.704094;5.277156;3.743107;2.608359;2.187393,0.5,0.4589257503949447,42.10276059118041
own_pooled,day_ahead_price,7.246697302795492,20.7020568537247,0.06398104265402849,5064,0.993772;1.421651;2.663353;4.460720;7.100089;10.427053;12.232051;13.209483;13.467578;13.117133;12.126568;10.454292;7.704094;5.277156;3.743107;2.608359;2.187393,0.8,0.7243285939968405,87.83448531833427
own_pooled,day_ahead_price,7.246697302795492,20.7020568537247,0.06398104265402849,5064,0.993772;1.421651;2.663353;4.460720;7.100089;10.427053;12.232051;13.209483;13.467578;13.117133;12.126568;10.454292;7.704094;5.277156;3.743107;2.608359;2.187393,0.9,0.8145734597156398,113.71082308117462
own_pooled,day_ahead_price,7.246697302795492,20.7020568537247,0.06398104265402849,5064,0.993772;1.421651;2.663353;4.460720;7.100089;10.427053;12.232051;13.209483;13.467578;13.117133;12.126568;10.454292;7.704094;5.277156;3.743107;2.608359;2.187393,0.98,0.8793443917851501,144.65925797493807
own_pooled,capacity_price,2.418555570166282,6.844862920240252,0.04541864139020537,5064,0.083073;0.143521;0.319384;0.615647;1.210174;2.331973;3.282099;3.992846;4.480521;4.731223;4.747305;4.495234;3.697851;2.869568;2.026829;1.208429;0.879769,0.5,0.5023696682464455,11.614809082375618
own_pooled,capacity_price,2.418555570166282,6.844862920240252,0.04541864139020537,5064,0.083073;0.143521;0.319384;0.615647;1.210174;2.331973;3.282099;3.992846;4.480521;4.731223;4.747305;4.495234;3.697851;2.869568;2.026829;1.208429;0.879769,0.8,0.7756714060031595,25.991102161953094
own_pooled,capacity_price,2.418555570166282,6.844862920240252,0.04541864139020537,5064,0.083073;0.143521;0.319384;0.615647;1.210174;2.331973;3.282099;3.992846;4.480521;4.731223;4.747305;4.495234;3.697851;2.869568;2.026829;1.208429;0.879769,0.9,0.8566350710900474,37.95985850256424
own_pooled,capacity_price,2.418555570166282,6.844862920240252,0.04541864139020537,5064,0.083073;0.143521;0.319384;0.615647;1.210174;2.331973;3.282099;3.992846;4.480521;4.731223;4.747305;4.495234;3.697851;2.869568;2.026829;1.208429;0.879769,0.98,0.9206161137440758,56.876331244034915
own_pooled,activation_volume,2.8146736939791284,7.835046638410149,0.04541864139020535,5064,0.060976;0.118553;0.292000;0.581296;1.155418;2.277376;3.327983;4.238062;4.993446;5.520162;5.760802;5.569877;4.703909;3.611487;2.529768;1.696882;1.411456,0.5,0.5019747235387045,14.950697881661052
own_pooled,activation_volume,2.8146736939791284,7.835046638410149,0.04541864139020535,5064,0.060976;0.118553;0.292000;0.581296;1.155418;2.277376;3.327983;4.238062;4.993446;5.520162;5.760802;5.569877;4.703909;3.611487;2.529768;1.696882;1.411456,0.8,0.8031200631911533,36.609967601394985
own_pooled,activation_volume,2.8146736939791284,7.835046638410149,0.04541864139020535,5064,0.060976;0.118553;0.292000;0.581296;1.155418;2.277376;3.327983;4.238062;4.993446;5.520162;5.760802;5.569877;4.703909;3.611487;2.529768;1.696882;1.411456,0.9,0.8900078988941548,51.39378282150898
own_pooled,activation_volume,2.8146736939791284,7.835046638410149,0.04541864139020535,5064,0.060976;0.118553;0.292000;0.581296;1.155418;2.277376;3.327983;4.238062;4.993446;5.520162;5.760802;5.569877;4.703909;3.611487;2.529768;1.696882;1.411456,0.98,0.9395734597156398,63.02956078021171
own_pooled,activation_price,23.44958966214015,63.10196309667419,0.0661622530474989,4758,1.052322;1.864972;4.257407;7.650252;13.521628;22.434567;29.042381;34.039594;37.587943;40.077841;41.504124;41.498599;38.951875;34.172661;25.768440;15.178131;10.040287,0.5,0.4558638083228247,71.57442979669311
own_pooled,activation_price,23.44958966214015,63.10196309667419,0.0661622530474989,4758,1.052322;1.864972;4.257407;7.650252;13.521628;22.434567;29.042381;34.039594;37.587943;40.077841;41.504124;41.498599;38.951875;34.172661;25.768440;15.178131;10.040287,0.8,0.7639764606977721,216.30983384805873
own_pooled,activation_price,23.44958966214015,63.10196309667419,0.0661622530474989,4758,1.052322;1.864972;4.257407;7.650252;13.521628;22.434567;29.042381;34.039594;37.587943;40.077841;41.504124;41.498599;38.951875;34.172661;25.768440;15.178131;10.040287,0.9,0.8684321143337537,406.2184900171685
own_pooled,activation_price,23.44958966214015,63.10196309667419,0.0661622530474989,4758,1.052322;1.864972;4.257407;7.650252;13.521628;22.434567;29.042381;34.039594;37.587943;40.077841;41.504124;41.498599;38.951875;34.172661;25.768440;15.178131;10.040287,0.98,0.942833123160992,910.3995905258358
cross_pooled,day_ahead_price,7.367178866185959,21.00497605094593,0.06299368088467616,5064,0.991614;1.402711;2.623780;4.371354;7.052414;10.448538;12.302380;13.298619;13.553991;13.311008;12.454705;10.859465;7.995984;5.577133;3.921442;2.748735;2.328167,0.5,0.46998420221169035,43.174922383558275
cross_pooled,day_ahead_price,7.367178866185959,21.00497605094593,0.06299368088467616,5064,0.991614;1.402711;2.623780;4.371354;7.052414;10.448538;12.302380;13.298619;13.553991;13.311008;12.454705;10.859465;7.995984;5.577133;3.921442;2.748735;2.328167,0.8,0.7328199052132701,89.79614893940177
cross_pooled,day_ahead_price,7.367178866185959,21.00497605094593,0.06299368088467616,5064,0.991614;1.402711;2.623780;4.371354;7.052414;10.448538;12.302380;13.298619;13.553991;13.311008;12.454705;10.859465;7.995984;5.577133;3.921442;2.748735;2.328167,0.9,0.8262243285939969,116.34422159005638
cross_pooled,day_ahead_price,7.367178866185959,21.00497605094593,0.06299368088467616,5064,0.991614;1.402711;2.623780;4.371354;7.052414;10.448538;12.302380;13.298619;13.553991;13.311008;12.454705;10.859465;7.995984;5.577133;3.921442;2.748735;2.328167,0.98,0.8874407582938388,148.06937792989973
cross_pooled,capacity_price,2.385717708363979,6.855226354953882,0.061611374407582936,5064,0.089788;0.147951;0.324086;0.619834;1.205151;2.317371;3.284631;4.020828;4.529811;4.822869;4.836353;4.545714;3.581606;2.635776;1.841579;1.037869;0.715984,0.5,0.5001974723538705,11.315137207206341
cross_pooled,capacity_price,2.385717708363979,6.855226354953882,0.061611374407582936,5064,0.089788;0.147951;0.324086;0.619834;1.205151;2.317371;3.284631;4.020828;4.529811;4.822869;4.836353;4.545714;3.581606;2.635776;1.841579;1.037869;0.715984,0.8,0.7648104265402843,25.860332183234895
cross_pooled,capacity_price,2.385717708363979,6.855226354953882,0.061611374407582936,5064,0.089788;0.147951;0.324086;0.619834;1.205151;2.317371;3.284631;4.020828;4.529811;4.822869;4.836353;4.545714;3.581606;2.635776;1.841579;1.037869;0.715984,0.9,0.8408372827804107,37.46171530967428
cross_pooled,capacity_price,2.385717708363979,6.855226354953882,0.061611374407582936,5064,0.089788;0.147951;0.324086;0.619834;1.205151;2.317371;3.284631;4.020828;4.529811;4.822869;4.836353;4.545714;3.581606;2.635776;1.841579;1.037869;0.715984,0.98,0.9123222748815166,57.490760509553894
cross_pooled,activation_volume,2.8146736939791284,7.835046638410149,0.04541864139020535,5064,0.060976;0.118553;0.292000;0.581296;1.155418;2.277376;3.327983;4.238062;4.993446;5.520162;5.760802;5.569877;4.703909;3.611487;2.529768;1.696882;1.411456,0.5,0.5019747235387045,14.950697881661052
cross_pooled,activation_volume,2.8146736939791284,7.835046638410149,0.04541864139020535,5064,0.060976;0.118553;0.292000;0.581296;1.155418;2.277376;3.327983;4.238062;4.993446;5.520162;5.760802;5.569877;4.703909;3.611487;2.529768;1.696882;1.411456,0.8,0.8031200631911533,36.609967601394985
cross_pooled,activation_volume,2.8146736939791284,7.835046638410149,0.04541864139020535,5064,0.060976;0.118553;0.292000;0.581296;1.155418;2.277376;3.327983;4.238062;4.993446;5.520162;5.760802;5.569877;4.703909;3.611487;2.529768;1.696882;1.411456,0.9,0.8900078988941548,51.39378282150898
cross_pooled,activation_volume,2.8146736939791284,7.835046638410149,0.04541864139020535,5064,0.060976;0.118553;0.292000;0.581296;1.155418;2.277376;3.327983;4.238062;4.993446;5.520162;5.760802;5.569877;4.703909;3.611487;2.529768;1.696882;1.411456,0.98,0.9395734597156398,63.02956078021171
cross_pooled,activation_price,23.44958966214015,63.10196309667419,0.0661622530474989,4758,1.052322;1.864972;4.257407;7.650252;13.521628;22.434567;29.042381;34.039594;37.587943;40.077841;41.504124;41.498599;38.951875;34.172661;25.768440;15.178131;10.040287,0.5,0.4558638083228247,71.57442979669311
cross_pooled,activation_price,23.44958966214015,63.10196309667419,0.0661622530474989,4758,1.052322;1.864972;4.257407;7.650252;13.521628;22.434567;29.042381;34.039594;37.587943;40.077841;41.504124;41.498599;38.951875;34.172661;25.768440;15.178131;10.040287,0.8,0.7639764606977721,216.30983384805873
cross_pooled,activation_price,23.44958966214015,63.10196309667419,0.0661622530474989,4758,1.052322;1.864972;4.257407;7.650252;13.521628;22.434567;29.042381;34.039594;37.587943;40.077841;41.504124;41.498599;38.951875;34.172661;25.768440;15.178131;10.040287,0.9,0.8684321143337537,406.2184900171685
cross_pooled,activation_price,23.44958966214015,63.10196309667419,0.0661622530474989,4758,1.052322;1.864972;4.257407;7.650252;13.521628;22.434567;29.042381;34.039594;37.587943;40.077841;41.504124;41.498599;38.951875;34.172661;25.768440;15.178131;10.040287,0.98,0.942833123160992,910.3995905258358
