strategy,method_name,chi,month,days,total_eur,required_activation_mwh,undelivered_activation_mwh,undelivered_activation_share
X06_rebuild,Data-driven deterministic-scenario reserve reconstruction,0,2026-06,30,91940.6000519,209.184254219,18.6774205909,0.0892869334769
X06_rebuild,Data-driven deterministic-scenario reserve reconstruction,0,2026-07,31,59569.697726,177.920883996,15.9810136841,0.0898208986222
X06_rebuild,Data-driven deterministic-scenario reserve reconstruction,0,2026-08,26,49831.5041272,148.449511056,14.4679191665,0.0974602008693
X09_rebuild,Sequential block-copula stochastic reconstruction,0,2026-01,4,17151.6130161,24.0255263167,3.00000000398e-06,1.24867191854e-07
X09_rebuild,Sequential block-copula stochastic reconstruction,0,2026-02,28,103572.447408,326.378927923,23.4208529031,0.07175969678
X09_rebuild,Sequential block-copula stochastic reconstruction,0,2026-03,31,118382.392921,407.560489859,62.0306682205,0.152199905938
X09_rebuild,Sequential block-copula stochastic reconstruction,0,2026-04,30,95601.5213176,359.270488982,53.7124647044,0.149504249171
X09_rebuild,Sequential block-copula stochastic reconstruction,0,2026-05,31,103059.808321,311.960559243,15.6226860534,0.0500790423355
X09_rebuild,Sequential block-copula stochastic reconstruction,0,2026-06,30,101471.93556,204.058168455,10.1250408566,0.0496184050523
X09_rebuild,Sequential block-copula stochastic reconstruction,0,2026-07,31,60981.4645108,174.267397637,13.6594979069,0.0783824059583
X09_rebuild,Sequential block-copula stochastic reconstruction,0,2026-08,26,56805.1098551,149.043899483,10.3366538797,0.0693530826529
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0,2026-01,4,17851.1451296,24.9234375573,0.575737906505,0.0231002607559
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0,2026-02,28,101525.161634,320.346966532,28.8485702537,0.0900541390044
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0,2026-03,31,119581.90714,417.700846228,74.9088367709,0.179336090524
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0,2026-04,30,93193.1611685,388.779730216,69.0481775577,0.177602308432
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0,2026-05,31,94672.6490713,327.553563711,23.0943551503,0.0705055835408
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0,2026-06,30,92858.2855909,201.699282651,15.2388745061,0.0755524477125
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0,2026-07,31,48852.1948959,162.133132875,12.6953617974,0.078302081581
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0,2026-08,26,47149.227718,148.78429241,10.5876226903,0.0711608901639
