strategy,method_name,chi,comparator,comparator_method_name,comparator_chi,metric,mean_difference_strategy_minus_comparator,confidence_lower,confidence_upper,dm_statistic,p_value,n_days
B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,B3_hist_paired,Historical paired-scenario stochastic dispatch,0,evening_delivered_activation_mwh,-0.0675890612759,-0.100188809782,-0.0257230812993,-3.5815196215,0.000341601476722,206
B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,B3_hist_paired,Historical paired-scenario stochastic dispatch,0,evening_undelivered_activation_mwh,-0.00720790313304,-0.0269336078483,0.0110449204038,-0.746611163245,0.45529830798,206
B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,B3_hist_paired,Historical paired-scenario stochastic dispatch,0,recovery_grid_mwh,0.490301183706,0.177353374956,0.829994998374,2.99917598485,0.00270710891802,206
B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,B3_hist_paired,Historical paired-scenario stochastic dispatch,0,total_eur,130.900997034,48.9693655705,185.697037389,3.3573817981,0.000786843785208,206
X06_rebuild,Data-driven deterministic-scenario reserve reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,midday_charge_mwh,-3.41374513507,-4.41761584669,-2.49968033343,-7.21195288461,5.5155060039e-13,206
X06_rebuild,Data-driven deterministic-scenario reserve reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,midday_proxy_overlap_mwh,-1.02316860361,-1.43539098599,-0.674329012586,-5.27385344823,1.33588598518e-07,206
X06_rebuild,Data-driven deterministic-scenario reserve reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,midday_forecast_proxy_overlap_mwh,-0.881206700903,-1.27963175546,-0.534063172858,-4.75460221237,1.98837525963e-06,206
X06_rebuild,Data-driven deterministic-scenario reserve reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,soc_at_17_mwh,0.0342833982869,-0.0822186589627,0.16342299874,0.546908450631,0.584441629695,206
X06_rebuild,Data-driven deterministic-scenario reserve reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,evening_reserve_mw_hours,0.184898433083,-0.0230226928517,0.417889348481,1.69589358596,0.0899060345801,206
X06_rebuild,Data-driven deterministic-scenario reserve reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,evening_delivered_activation_mwh,0.0225778359287,0.00129725065521,0.0517761765522,1.73781567016,0.0822432986172,206
X06_rebuild,Data-driven deterministic-scenario reserve reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,evening_undelivered_activation_mwh,-0.00414860990457,-0.0124458055632,1.94174756201e-08,-1.0447894665,0.296120284309,206
X06_rebuild,Data-driven deterministic-scenario reserve reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,recovery_grid_mwh,1.20435875512,0.712296268772,1.79160496777,4.32176082771,1.54788927766e-05,206
X06_rebuild,Data-driven deterministic-scenario reserve reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,total_eur,290.668633969,192.088623304,444.557396491,4.29762070502,1.72641252181e-05,206
X09_rebuild,Sequential block-copula stochastic reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,midday_charge_mwh,-4.10488947683,-5.24665100924,-3.06133502351,-7.59595429237,3.05532366488e-14,206
X09_rebuild,Sequential block-copula stochastic reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,midday_proxy_overlap_mwh,-1.40295931707,-1.86717398863,-0.990521039435,-6.08649991461,1.15405719323e-09,206
X09_rebuild,Sequential block-copula stochastic reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,midday_forecast_proxy_overlap_mwh,-1.02852503643,-1.46572273171,-0.657633007773,-5.2329497491,1.66826104187e-07,206
X09_rebuild,Sequential block-copula stochastic reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,soc_at_17_mwh,-0.0820863660139,-0.220058911238,0.0563253202615,-1.17931462032,0.238272918629,206
X09_rebuild,Sequential block-copula stochastic reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,evening_reserve_mw_hours,-0.191315607997,-0.473104362877,0.213822151636,-1.05377662215,0.291985199072,206
X09_rebuild,Sequential block-copula stochastic reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,evening_delivered_activation_mwh,-0.0327182282157,-0.0761040645163,0.0195662087446,-1.34001712234,0.180239778347,206
X09_rebuild,Sequential block-copula stochastic reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,evening_undelivered_activation_mwh,-0.018874485279,-0.0446889109868,-0.000523072658458,-1.70921547664,0.087411043086,206
X09_rebuild,Sequential block-copula stochastic reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,recovery_grid_mwh,0.996952404706,0.525753226595,1.46429004224,4.06395678281,4.82477629756e-05,206
X09_rebuild,Sequential block-copula stochastic reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,total_eur,425.398449825,302.247018107,578.100555908,5.86160657446,4.58410109258e-09,206
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,midday_charge_mwh,-5.59480733483,-6.9643121479,-4.25249571706,-8.11199599217,4.97949436938e-16,206
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,midday_proxy_overlap_mwh,-1.92367380466,-2.58041652054,-1.33303274895,-5.97398897733,2.31521451588e-09,206
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,midday_forecast_proxy_overlap_mwh,-1.48809381736,-2.07298522674,-0.962023589994,-5.27879630955,1.30035255722e-07,206
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,soc_at_17_mwh,-0.878113222204,-1.06414508775,-0.678309601286,-8.75496750606,2.04162297023e-18,206
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,evening_reserve_mw_hours,1.14978327206,0.846839118314,1.46743428111,7.39196980265,1.44669386814e-13,206
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,evening_delivered_activation_mwh,0.0792719850054,0.0442650690325,0.118467334504,4.35178469841,1.35033831374e-05,206
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,evening_undelivered_activation_mwh,-0.000105625007051,-0.000316564462899,-1.35922330212e-07,-1.01938092912,0.308022156416,206
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,recovery_grid_mwh,0.965840496873,0.429160361418,1.53123051119,3.51113399095,0.000446199434386,206
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,total_eur,226.947531428,88.8095710276,385.43637937,2.99851956584,0.00271294736089,206
B3_proxy_rho25,Proxy-aligned pooled Gaussian-copula dispatch (rho=25 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,midday_charge_mwh,0.521032396941,0.237766044969,0.801872148325,3.61784121997,0.000297070542599,206
B3_proxy_rho25,Proxy-aligned pooled Gaussian-copula dispatch (rho=25 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,midday_proxy_overlap_mwh,0.418551264399,0.218969568608,0.649308584111,3.63540615646,0.000277543015349,206
B3_proxy_rho25,Proxy-aligned pooled Gaussian-copula dispatch (rho=25 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,midday_forecast_proxy_overlap_mwh,0.526045427384,0.323805791722,0.757429891844,4.70240252141,2.57117981214e-06,206
B3_proxy_rho25,Proxy-aligned pooled Gaussian-copula dispatch (rho=25 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,soc_at_17_mwh,0.0620720517312,0.030902839731,0.0934549084248,3.82401835306,0.000131294135228,206
B3_proxy_rho25,Proxy-aligned pooled Gaussian-copula dispatch (rho=25 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,evening_reserve_mw_hours,-0.049750370202,-0.220765768139,0.101927518914,-0.602701791104,0.546707089823,206
B3_proxy_rho25,Proxy-aligned pooled Gaussian-copula dispatch (rho=25 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,evening_delivered_activation_mwh,-9.35804287514e-05,-0.0101050790557,0.0114787498537,-0.0174784164537,0.986054951392,206
B3_proxy_rho25,Proxy-aligned pooled Gaussian-copula dispatch (rho=25 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,evening_undelivered_activation_mwh,-0.000197357190019,-0.000592090987534,2.91262136079e-08,-1.01765289403,0.308842940888,206
B3_proxy_rho25,Proxy-aligned pooled Gaussian-copula dispatch (rho=25 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,recovery_grid_mwh,-0.0488829963792,-0.120878599395,0.0332516925863,-1.2588082205,0.208099610408,206
B3_proxy_rho25,Proxy-aligned pooled Gaussian-copula dispatch (rho=25 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,total_eur,13.4037194427,2.69178648925,28.2128891809,1.97942309056,0.0477683908881,206
B3_proxy_rho50,Proxy-aligned pooled Gaussian-copula dispatch (rho=50 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,midday_charge_mwh,1.49806326947,1.0667882024,1.94368012729,6.52993661268,6.57975319571e-11,206
B3_proxy_rho50,Proxy-aligned pooled Gaussian-copula dispatch (rho=50 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,midday_proxy_overlap_mwh,1.04009499976,0.677198220648,1.44498537504,5.21652201581,1.82313915269e-07,206
B3_proxy_rho50,Proxy-aligned pooled Gaussian-copula dispatch (rho=50 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,midday_forecast_proxy_overlap_mwh,1.49686615545,1.10250202648,1.88601872141,7.21709709279,5.31090593451e-13,206
B3_proxy_rho50,Proxy-aligned pooled Gaussian-copula dispatch (rho=50 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,soc_at_17_mwh,0.147084553631,0.0835492967279,0.205227641678,4.53086207706,5.87434817317e-06,206
