strategy,chi,comparator,comparator_chi,metric,status,mean_difference_strategy_minus_comparator,confidence_lower,confidence_upper,dm_statistic,p_value,n_days
B3_pooled_empirical,0.5,B2_FB0,0,total_eur,computed,384.428556224,231.53041122,530.758914114,4.88406087999,1.03922964436e-06,211
B3_pooled_empirical,0.5,B2_FB0,0,undelivered_activation_share,computed,-0.00940578142215,-0.0214845788796,0.00276935408892,-1.55489850244,0.119970244105,211
B3_pooled_empirical,0.5,B2_FB0,0,committed_mw_hours,computed,6.34266310949,2.48465358979,10.1047757,3.21872083238,0.00128763778892,211
B3_pooled_empirical_analog,0,B2_FB0,0,total_eur,computed,424.164613534,281.690503491,567.62710918,5.61328598976,1.98520087567e-08,211
B3_pooled_empirical_analog,0,B2_FB0,0,undelivered_activation_share,computed,-0.00801299711323,-0.0203976070521,0.00427300628228,-1.30081972972,0.193320166993,211
B3_pooled_empirical_analog,0,B2_FB0,0,committed_mw_hours,computed,9.22232605953,4.86326736035,13.5892830337,4.11238657696,3.9158987117e-05,211
B3_pooled_empirical_analog,0.5,B2_FB0,0,total_eur,computed,382.532128292,235.059241457,520.391732723,5.06844440834,4.0108008524e-07,211
B3_pooled_empirical_analog,0.5,B2_FB0,0,undelivered_activation_share,computed,-0.00774164596176,-0.019762771917,0.00406445484041,-1.31926573564,0.187080288649,211
B3_pooled_empirical_analog,0.5,B2_FB0,0,committed_mw_hours,computed,7.25492461776,3.02443254946,11.391535613,3.40530359819,0.000660905340113,211
B3_pooled_empirical_directqr,0,B2_FB0,0,total_eur,computed,418.44065551,276.999687844,559.567426796,5.5658352973,2.60899585671e-08,211
B3_pooled_empirical_directqr,0,B2_FB0,0,undelivered_activation_share,computed,-0.00828236200013,-0.0208962039889,0.00406284225704,-1.32754478899,0.184328534221,211
B3_pooled_empirical_directqr,0,B2_FB0,0,committed_mw_hours,computed,9.23719531027,4.85292000774,13.6435311389,4.11358294284,3.89564978546e-05,211
B3_pooled_empirical_directqr,0.5,B2_FB0,0,total_eur,computed,385.258027549,235.500560229,529.114276671,4.9451591155,7.60816953227e-07,211
B3_pooled_empirical_directqr,0.5,B2_FB0,0,undelivered_activation_share,computed,-0.00887767733953,-0.0210457267039,0.00332655945445,-1.45640043895,0.145281954298,211
B3_pooled_empirical_directqr,0.5,B2_FB0,0,committed_mw_hours,computed,6.48664674128,2.33398098338,10.4501287031,3.07952569174,0.00207330487433,211
B3_pooled_gaussian,0,B2_FB0,0,total_eur,computed,449.060339336,297.702872683,611.743232613,5.57920067346,2.41626355074e-08,211
B3_pooled_gaussian,0,B2_FB0,0,undelivered_activation_share,computed,-0.00496089691849,-0.0156878265778,0.00678585702509,-0.883016740497,0.377227226734,211
B3_pooled_gaussian,0,B2_FB0,0,committed_mw_hours,computed,11.9781681444,8.12726473775,16.0465618625,5.96762253141,2.40735493397e-09,211
B3_pooled_gaussian,0.5,B2_FB0,0,total_eur,computed,398.348667111,266.934972405,553.564284093,5.48575111977,4.11716218288e-08,211
B3_pooled_gaussian,0.5,B2_FB0,0,undelivered_activation_share,computed,-0.00512397689967,-0.0154034738225,0.00614098396009,-0.955062486747,0.339546098108,211
B3_pooled_gaussian,0.5,B2_FB0,0,committed_mw_hours,computed,9.00306146605,5.49280055144,12.7351044016,4.79975871369,1.58856902586e-06,211
B3_pooled_gaussian_directqr,0,B2_FB0,0,total_eur,computed,447.260993757,297.118883557,608.619721108,5.58891314475,2.28495196775e-08,211
B3_pooled_gaussian_directqr,0,B2_FB0,0,undelivered_activation_share,computed,-0.00465895494293,-0.0153170875686,0.00714559392958,-0.831179702265,0.405872119605,211
B3_pooled_gaussian_directqr,0,B2_FB0,0,committed_mw_hours,computed,11.8203282721,8.0648406086,15.8479336366,6.0445677715,1.49811072855e-09,211
B3_pooled_gaussian_directqr,0.5,B2_FB0,0,total_eur,computed,404.021245133,270.07528195,561.427677957,5.38455516159,7.26240300597e-08,211
B3_pooled_gaussian_directqr,0.5,B2_FB0,0,undelivered_activation_share,computed,-0.00488075985736,-0.0151635484732,0.00629964073301,-0.909283241794,0.36320063419,211
B3_pooled_gaussian_directqr,0.5,B2_FB0,0,committed_mw_hours,computed,9.24252246512,5.75588367849,12.9922668766,4.94515215391,7.60844143086e-07,211
B3_pooled_gaussian_gate,0,B2_FB0,0,total_eur,computed,440.434924877,293.556659097,598.48816301,5.53406976401,3.12884429061e-08,211
B3_pooled_gaussian_gate,0,B2_FB0,0,undelivered_activation_share,computed,-0.00492505754086,-0.0154428932067,0.0061605523399,-0.916160828176,0.359582547542,211
B3_pooled_gaussian_gate,0,B2_FB0,0,committed_mw_hours,computed,11.9001639267,8.1890405635,15.6534222383,6.17530359234,6.6036453122e-10,211
