scope,path,delivery_day,period,activation_state,information_set,activation_representation,delivery_days,evaluated_days,scenarios,valid_n,missing_n,availability_ok
premium_pool,,2026-02-03,2,1,gate_0730,,81,,,1240,0,True
premium_pool,,2026-02-03,3,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-03,3,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-03,4,0,gate_0730,,81,,,128,0,True
premium_pool,,2026-02-03,4,1,gate_0730,,81,,,1168,0,True
premium_pool,,2026-02-03,5,0,gate_0730,,81,,,208,0,True
premium_pool,,2026-02-03,5,1,gate_0730,,81,,,1088,0,True
premium_pool,,2026-02-04,0,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-02-04,0,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-02-04,1,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-04,1,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-04,2,0,gate_0730,,81,,,56,0,True
premium_pool,,2026-02-04,2,1,gate_0730,,81,,,1240,0,True
premium_pool,,2026-02-04,3,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-04,3,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-04,4,0,gate_0730,,81,,,128,0,True
premium_pool,,2026-02-04,4,1,gate_0730,,81,,,1168,0,True
premium_pool,,2026-02-04,5,0,gate_0730,,81,,,208,0,True
premium_pool,,2026-02-04,5,1,gate_0730,,81,,,1088,0,True
premium_pool,,2026-02-05,0,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-02-05,0,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-02-05,1,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-05,1,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-05,2,0,gate_0730,,81,,,56,0,True
premium_pool,,2026-02-05,2,1,gate_0730,,81,,,1240,0,True
premium_pool,,2026-02-05,3,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-05,3,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-05,4,0,gate_0730,,81,,,128,0,True
premium_pool,,2026-02-05,4,1,gate_0730,,81,,,1168,0,True
premium_pool,,2026-02-05,5,0,gate_0730,,81,,,216,0,True
premium_pool,,2026-02-05,5,1,gate_0730,,81,,,1080,0,True
premium_pool,,2026-02-06,0,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-02-06,0,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-02-06,1,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-06,1,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-06,2,0,gate_0730,,81,,,56,0,True
premium_pool,,2026-02-06,2,1,gate_0730,,81,,,1240,0,True
premium_pool,,2026-02-06,3,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-06,3,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-06,4,0,gate_0730,,81,,,128,0,True
premium_pool,,2026-02-06,4,1,gate_0730,,81,,,1168,0,True
premium_pool,,2026-02-06,5,0,gate_0730,,81,,,216,0,True
premium_pool,,2026-02-06,5,1,gate_0730,,81,,,1080,0,True
premium_pool,,2026-02-07,0,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-02-07,0,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-02-07,1,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-07,1,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-07,2,0,gate_0730,,81,,,56,0,True
premium_pool,,2026-02-07,2,1,gate_0730,,81,,,1240,0,True
premium_pool,,2026-02-07,3,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-07,3,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-07,4,0,gate_0730,,81,,,136,0,True
premium_pool,,2026-02-07,4,1,gate_0730,,81,,,1160,0,True
premium_pool,,2026-02-07,5,0,gate_0730,,81,,,216,0,True
premium_pool,,2026-02-07,5,1,gate_0730,,81,,,1080,0,True
premium_pool,,2026-02-08,0,0,gate_0730,,81,,,88,0,True
premium_pool,,2026-02-08,0,1,gate_0730,,81,,,1208,0,True
premium_pool,,2026-02-08,1,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-08,1,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-08,2,0,gate_0730,,81,,,56,0,True
premium_pool,,2026-02-08,2,1,gate_0730,,81,,,1240,0,True
premium_pool,,2026-02-08,3,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-08,3,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-08,4,0,gate_0730,,81,,,136,0,True
premium_pool,,2026-02-08,4,1,gate_0730,,81,,,1160,0,True
premium_pool,,2026-02-08,5,0,gate_0730,,81,,,216,0,True
premium_pool,,2026-02-08,5,1,gate_0730,,81,,,1080,0,True
premium_pool,,2026-02-09,0,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-02-09,0,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-02-09,1,0,gate_0730,,81,,,72,0,True
premium_pool,,2026-02-09,1,1,gate_0730,,81,,,1224,0,True
premium_pool,,2026-02-09,2,0,gate_0730,,81,,,56,0,True
premium_pool,,2026-02-09,2,1,gate_0730,,81,,,1240,0,True
