gate,scope,hours,wind_mae_mwh,solar_mae_mwh,load_mae_mwh,proxy_mae_mwh,proxy_rmse_mwh,observed_positive_hours,forecast_positive_hours,positive_precision,positive_recall,observed_proxy_mwh,forecast_proxy_mwh
gate_0730,all_hours,4990,408.821814867,238.82662392,224.736142121,180.413767482,410.260770423,1413,1105,0.79185520362,0.619249823071,1143143.24072,669963.590756
gate_0730,midday,1248,468.268623946,506.568472788,278.11981926,276.431805441,562.016671382,393,344,0.619186046512,0.541984732824,318956.806706,226547.550723
gate_1200,all_hours,4990,377.70460556,231.442743858,221.540421303,174.89674712,403.750930664,1413,1158,0.806563039724,0.661004953999,1143143.24072,724365.255191
gate_1200,midday,1248,445.267903392,490.002712548,270.935948867,270.336996639,553.197002433,393,365,0.641095890411,0.595419847328,318956.806706,243147.576095
