delivery_day,strategy,chi,planned_profit_eur,base_terminal_soc_deviation_mwh,exclusivity_violations,fallback,solver_settings,solver_0730_status,solver_1200_delivery_status,solver_1200_profit_status,delivery_shortfall_from_maximum_mwh,undelivered_activation_mwh,undelivered_activation_share,stress_hours,stress_required_activation_mwh,stress_delivered_activation_mwh,energy_eur,capacity_eur,activation_eur,shortfall_cost_eur,schedule_gap_cost_eur,recovery_cost_eur,total_eur,committed_mw_hours,required_activation_mwh,delivered_activation_mwh,reserve_power_gap_mwh,reserve_energy_gap_mwh,day_ahead_gap_mwh,recovery_grid_mwh,max_committed_gross_power_mw,max_realised_gross_power_mw,slots_with_shortfall,slots_with_schedule_gap,activation_during_charge_slots,recovery_during_discharge_slots,recovery_during_activation_slots,recovery_overlap_slots,min_soc_mwh,max_soc_mwh,terminal_soc_mwh,terminal_soc_deviation_mwh,cycles
2026-01-28,B3_hist_paired_shortfall,0,7258.9689253,0,0,0,highs|highs,0,-1,0,0,0.183405575853,0.0204236437273,9,2.5392,2.5392,-2.74749114593,3769.1281182,4942.43832058,15.6169755738,0,685.954903387,8007.24706867,93.6096726579,8.98006145728,8.79665588143,0.0309303422693,0.152475233583,0,10.3490069193,4,4,1,0,5,0,13,16,3.12559738797,8.000000001,4.4,1.7763568394e-15,0.0808731238597
2026-01-28,B3_hist_paired_shortfall,0.5,7148.55990174,0,0,0,highs|highs,0,-1,0,0,0.0811798956862,0.00897980232194,9,2.52856821074,2.52856821074,49.0441257338,3646.23085347,5081.06586569,6.44966973071,0,710.030780683,8059.86039448,91.1209954314,9.04027647555,8.95909657987,0.0309303422693,0.0502495534168,0,10.5401136234,4,4,2,0,7,1,13,18,2.92047064968,8.000000001,4.4,0,0.188776013102
2026-01-28,B3_pooled_empirical,0,5716.37067624,0,0,0,highs|highs+highs,0,0,0,4.999947123e-10,0.174682249158,0.0223733132537,9,2.01223688561,2.01223688561,-6.90506564642,3230.23488207,4686.11476636,14.8741843058,0,566.954160896,7327.61623758,82.7613820375,7.80761647492,7.63293422577,0,0.174682249158,0,8.97992261855,4,4,1,0,5,0,10,12,3.27391466608,7.7825042323,4.4,1.7763568394e-15,0.116703296122
2026-01-28,B3_pooled_empirical,0.5,5656.77762713,0,0,0,highs|highs+highs_ipm,0,0,0,4.99973396018e-10,9.99999997475e-07,1.29687702527e-07,9,2.00697418452,2.00697418452,24.2775168285,3151.04370115,4812.43844549,7.59399998336e-05,0,572.65560495,7415.10398257,79.6391363688,7.71083131238,7.71083031238,0,9.99999997808e-07,0,9.07156507339,4,4,0,0,10,1,10,19,2.9779873663,8.000000001,4.4,0,0.200881348036
2026-01-28,B3_pooled_empirical_analog,0,4942.5288001,0,0,0,highs|highs+highs,0,0,0,5.00001817727e-10,0.174682249158,0.0223733132537,9,2.01223688561,2.01223688561,68.7741137234,3230.23488207,4686.11476636,14.8741843058,0,545.391344795,7424.85823305,82.7613820375,7.80761647492,7.63293422577,0,0.174682249158,0,8.97992261855,4,4,1,0,13,1,10,19,3.27391466608,8.000000001,4.4,1.7763568394e-15,0.274035958464
2026-01-28,B3_pooled_empirical_analog,0.5,4826.04192986,0,0,0,highs|highs+highs_ipm_presolve_off,0,0,0,5.00044450291e-10,0.171810487279,0.0222817074215,9,2.00697418452,2.00697418452,93.5541901962,3151.04370115,4660.25303785,14.6296537818,0,538.928253551,7351.29302186,79.6391363688,7.71083131238,7.5390208251,0,0.171810487279,0,8.86943626483,4,4,1,0,16,1,9,21,3.30764169816,8.000000001,4.4,-3.5527136788e-15,0.335954338613
2026-01-28,B3_pooled_empirical_directqr,0,5574.66733087,0,0,0,highs|highs+highs,0,0,0,4.999947123e-10,0.151782767863,0.0194403462761,9,2.01223688561,2.01223688561,-5.80607788722,3230.23488207,4706.39866891,12.9242934736,0,574.26670027,7343.63647934,82.7613820375,7.80761647492,7.65583370706,0,0.151782767863,0,9.00686318478,4,4,1,0,4,0,10,12,3.22796441269,7.7825042323,4.4,8.881784197e-16,0.10126407871
2026-01-28,B3_pooled_empirical_directqr,0.5,5522.13078469,0,0,0,highs|highs+highs,0,0,0,4.99976948731e-10,9.99999997475e-07,1.29687702527e-07,9,2.00697418452,2.00697418452,24.8470349401,3151.04370115,4812.43844549,7.59399998336e-05,0,573.945081218,7414.38402442,79.6391363688,7.71083131238,7.71083031238,0,9.99999997808e-07,0,9.07156507339,4,4,0,0,9,1,10,18,2.9779873663,8.000000001,4.4,0,0.203640361229
2026-01-28,B3_pooled_gaussian,0,5174.46636892,0,0,0,highs|highs+highs,0,0,0,5.00032015793e-10,9.99999997475e-07,1.25560091174e-07,9,2.31130237505,2.31130237505,-5.02123260063,3445.50653374,4854.80682748,7.59399998589e-05,0,612.822490632,7682.46956204,85.238792013,7.96431404379,7.96431304379,0,9.99999998141e-07,0,9.36978005151,4,4,0,0,4,0,10,12,2.92339809507,7.83993587855,4.4,0,0.0795577921195
2026-01-28,B3_pooled_gaussian,0.5,5198.43601794,0,0,0,highs|highs+highs_ipm,0,0,0,5.00019581295e-10,9.99999999252e-07,1.25575640526e-07,9,2.40619352737,2.40619352737,-11.6195801803,3483.55586685,4830.6843845,7.59399999516e-05,0,597.024599636,7705.59599559,83.5302859873,7.96332788005,7.96332688005,0,9.99999999363e-07,0,9.36861985888,4,4,0,0,5,0,10,12,3.02088810894,7.93881058929,4.4,-1.7763568394e-15,0.148184911528
