arm,seed,block,evaluation_set,n_days,energy_score_mean,variogram_score_mean
fb2_no_temporal,1,prices,main_211,211,4.040823626995377,421.8867204876568
fb2_no_temporal,2,activation,main_211,211,3.1090333622414534,141.5211513333019
fb2_no_temporal,2,all,main_211,211,5.277840456555745,1062.4801336152932
fb2_no_temporal,2,prices,main_211,211,4.040043696260047,422.0602066376233
fb2_no_temporal,3,activation,main_211,211,3.111793097053479,141.78842888022282
fb2_no_temporal,3,all,main_211,211,5.260446460906167,1058.2727965377712
fb2_no_temporal,3,prices,main_211,211,4.019518343996437,419.3682702961296
fb2_no_temporal,1,activation,common_209,209,3.1212539133520116,142.49199961374686
fb2_no_temporal,1,all,common_209,209,5.287621952214624,1066.9413169389366
fb2_no_temporal,1,prices,common_209,209,4.042662405835878,422.55446507080563
fb2_no_temporal,2,activation,common_209,209,3.1176159919107436,141.8647042503369
fb2_no_temporal,2,all,common_209,209,5.285707710060177,1065.1941856762787
fb2_no_temporal,2,prices,common_209,209,4.042511251116428,422.7485764261167
fb2_no_temporal,3,activation,common_209,209,3.1187069158566243,142.06704490081273
fb2_no_temporal,3,all,common_209,209,5.265991272679072,1060.724501298692
fb2_no_temporal,3,prices,common_209,209,4.020438344120535,419.94039617291264
fb2_plus_weather,1,activation,common_209,209,3.48994807136041,164.25266465111798
fb2_plus_weather,1,all,common_209,209,5.474682104461235,1098.924928902639
fb2_plus_weather,1,prices,common_209,209,3.971465354979711,408.4074025827307
fb2_plus_weather,2,activation,common_209,209,3.4885866498511575,164.25780752723054
fb2_plus_weather,2,all,common_209,209,5.466971782299617,1098.1659624394558
fb2_plus_weather,2,prices,common_209,209,3.967765987252522,407.6229688941758
fb2_plus_weather,3,activation,common_209,209,3.5011122337042844,164.62133632411
fb2_plus_weather,3,all,common_209,209,5.463324744329402,1095.3117495529723
fb2_plus_weather,3,prices,common_209,209,3.946942911140368,405.4532321997294
hist_independent,1,activation,main_211,211,3.0428547648261115,138.6211100737349
hist_independent,1,all,main_211,211,5.890993388092374,1248.8946534386375
hist_independent,1,prices,main_211,211,4.8561571351242625,544.1159587955833
hist_independent,2,activation,main_211,211,3.03461380156083,138.15045192135975
hist_independent,2,all,main_211,211,5.8984674281963905,1249.475906609968
hist_independent,2,prices,main_211,211,4.870514382968073,545.3032047999455
hist_independent,3,activation,main_211,211,3.0288935158196337,137.48972717385507
hist_independent,3,all,main_211,211,5.9101708503571615,1253.5004573381561
hist_independent,3,prices,main_211,211,4.892208943793259,550.0308393823864
hist_independent,1,activation,common_209,209,3.057352638768373,139.40858392015645
hist_independent,1,all,common_209,209,5.904205903354541,1253.98084514462
hist_independent,1,prices,common_209,209,4.861486560114071,546.0272801578924
hist_independent,2,activation,common_209,209,3.04941717704705,138.938941105597
hist_independent,2,all,common_209,209,5.911918280674971,1254.6377403238125
hist_independent,2,prices,common_209,209,4.876043582342174,547.2404583248116
hist_independent,3,activation,common_209,209,3.043294992088417,138.29544366759765
hist_independent,3,all,common_209,209,5.922706999840049,1258.5427349682707
hist_independent,3,prices,common_209,209,4.896970938496563,551.9640689084599
hist_paired,1,activation,main_211,211,3.040542497134663,138.2101620349849
hist_paired,1,all,main_211,211,5.9352661779798686,1257.8457798028726
hist_paired,1,prices,main_211,211,4.909745991234545,554.9252126015851
hist_paired,2,activation,main_211,211,3.040066844034704,138.00371742855313
hist_paired,2,all,main_211,211,5.933444391259285,1255.7452636939051
hist_paired,2,prices,main_211,211,4.908946783592051,554.2008779379664
hist_paired,3,activation,main_211,211,3.038684552555888,138.1223431053634
hist_paired,3,all,main_211,211,5.941278489260743,1258.9355354397019
hist_paired,3,prices,main_211,211,4.919360816160901,556.7057396451218
hist_paired,1,activation,common_209,209,3.0548376650200946,138.99874873268212
hist_paired,1,all,common_209,209,5.949490125809031,1263.243720897035
hist_paired,1,prices,common_209,209,4.91595607341145,557.0371865877169
hist_paired,2,activation,common_209,209,3.053538205078948,138.72426872576253
hist_paired,2,all,common_209,209,5.947179490283337,1260.885284488546
hist_paired,2,prices,common_209,209,4.915133284224383,556.2827887955896
hist_paired,3,activation,common_209,209,3.0523143749514707,138.85415444429333
hist_paired,3,all,common_209,209,5.954732861642414,1264.0185155502281
hist_paired,3,prices,common_209,209,4.925168316538751,558.7355252113164
x09_block_copula,1,activation,main_211,211,3.106669462500894,141.1562891449621
x09_block_copula,1,all,main_211,211,5.266004534969113,1049.2431793980115
x09_block_copula,1,prices,main_211,211,4.018992841461869,407.2236706074809
x09_block_copula,2,activation,main_211,211,3.0945110328283185,140.12514101063064
x09_block_copula,2,all,main_211,211,5.252570914754265,1046.3956434641175
x09_block_copula,2,prices,main_211,211,4.019226239798943,407.0104511870897
x09_block_copula,3,activation,main_211,211,3.096337308909129,140.2529935553322
x09_block_copula,3,all,main_211,211,5.266607224462501,1047.4861991442779
