arm,method_name,evaluation_set,n_days,target,mae,rmse,rmae,n_valid
persistence,Previous-day persistence point forecast,main_211,211,day_ahead_price,28.875153034755137,43.73032602397659,0.7782096640081707,5064
persistence,Previous-day persistence point forecast,main_211,211,capacity_price,9.080280410742494,25.18670301347089,0.7818786257448307,5064
persistence,Previous-day persistence point forecast,main_211,211,activation_volume,13.573495260663506,24.997852885681095,0.9986401235046806,5064
persistence,Previous-day persistence point forecast,main_211,211,activation_price,109.31211459635716,262.83966782111577,0.9546731804528736,4464
persistence,Previous-day persistence point forecast,common_209,209,day_ahead_price,28.974661080243216,43.87517062489013,0.7848522862385748,5016
persistence,Previous-day persistence point forecast,common_209,209,capacity_price,9.043875598086125,25.222904282389777,0.7807260615654524,5016
persistence,Previous-day persistence point forecast,common_209,209,activation_volume,13.6097826953748,25.083828828155863,1.0055326880347262,5016
persistence,Previous-day persistence point forecast,common_209,209,activation_price,109.850897106373,264.0768111325044,0.958894870333068,4417
fb0_lgbm,Frozen LightGBM point forecast,main_211,211,day_ahead_price,30.104193956099103,42.79814221736439,0.8113333507051784,5064
fb0_lgbm,Frozen LightGBM point forecast,main_211,211,capacity_price,9.83235472394937,23.687412820569023,0.8466377305157038,5064
fb0_lgbm,Frozen LightGBM point forecast,main_211,211,activation_volume,10.2595687197443,18.9114769756441,0.7548252514650656,5064
fb0_lgbm,Frozen LightGBM point forecast,main_211,211,activation_price,83.37056010835217,207.3415246045632,0.7281136045046415,4464
fb0_lgbm,Frozen LightGBM point forecast,common_209,209,day_ahead_price,30.160904386212017,42.906498753465485,0.8169846990439019,5016
fb0_lgbm,Frozen LightGBM point forecast,common_209,209,capacity_price,9.815747288511762,23.73217625457645,0.8473590374798274,5016
fb0_lgbm,Frozen LightGBM point forecast,common_209,209,activation_volume,10.291254324020748,18.98361917407609,0.760349584949534,5016
fb0_lgbm,Frozen LightGBM point forecast,common_209,209,activation_price,83.76579967725701,208.29947517618933,0.7311965376312725,4417
fb0_lgbm_cap1200,Gate-updated LightGBM point forecast,main_211,211,day_ahead_price,31.84109566197585,43.87455013911316,0.8581443127568301,5064
fb0_lgbm_cap1200,Gate-updated LightGBM point forecast,common_209,209,day_ahead_price,31.96937138920669,44.02437993214386,0.8659716210291677,5016
f01_lear,LEAR point forecast,main_211,211,day_ahead_price,25.457755667327987,49.77165976149022,0.6861079302481148,5064
f01_lear,LEAR point forecast,main_211,211,capacity_price,12.271919658075234,30.877413543524213,1.0567021329159856,5064
f01_lear,LEAR point forecast,common_209,209,day_ahead_price,25.525118150792576,49.95678177498895,0.6914126547219351,5016
f01_lear,LEAR point forecast,common_209,209,capacity_price,12.254159809247067,30.94820967182578,1.057858638357623,5016
f08_lightgbm,LightGBM point forecast,main_211,211,day_ahead_price,24.84206150244192,37.81533921428504,0.6695144545837236,5064
f08_lightgbm,LightGBM point forecast,main_211,211,capacity_price,8.812461692474821,23.122935729654458,0.7588174732345915,5064
f08_lightgbm,LightGBM point forecast,common_209,209,day_ahead_price,24.90097880588275,37.92696618140218,0.6745062553536285,5016
f08_lightgbm,LightGBM point forecast,common_209,209,capacity_price,8.801735001121921,23.176982606092384,0.7598229130686979,5016
