arm,method_name,seed,target,evaluation_set,n_days,fit_window_empirical_resolution,extrapolated_quantile_levels,extrapolation_note,activation_positive_q99_note,quantile_level,exceedance_frequency,pressure_exceedance_frequency,n_valid,n_pressure
fb1_qr,Independent quantile-regression scenarios,1,day_ahead_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.1419457735247209,,5016,0
fb1_qr,Independent quantile-regression scenarios,1,day_ahead_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.1273923444976076,,5016,0
fb1_qr,Independent quantile-regression scenarios,1,capacity_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.0717703349282296,0.4786324786324786,5016,351
fb1_qr,Independent quantile-regression scenarios,1,capacity_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0490430622009569,0.3646723646723647,5016,351
fb1_qr,Independent quantile-regression scenarios,1,activation_volume,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.95,0.0661881977671451,0.5621468926553672,5016,354
fb1_qr,Independent quantile-regression scenarios,1,activation_volume,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.99,0.0468500797448165,0.4378531073446328,5016,354
fb1_qr,Independent quantile-regression scenarios,1,activation_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.064317554659308,,4711,0
fb1_qr,Independent quantile-regression scenarios,1,activation_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0235618764593504,,4711,0
hist_paired,Historical paired scenarios,1,day_ahead_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.1996445497630331,,5064,0
hist_paired,Historical paired scenarios,1,day_ahead_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.1172985781990521,,5064,0
