arm,method_name,seed,evaluation_set,n_days,metric,target_x,target_y,lag_hours_y_after_x,observed_value,scenario_value,difference,n_observed_pairs,n_scenario_pairs
fb1_qr,Independent quantile-regression scenarios,1,common_209,209,spearman_rho,capacity_price,capacity_price,1,0.7815373266386816,0.4085499590378798,-0.3729873676008018,4807,480700
fb1_qr,Independent quantile-regression scenarios,1,common_209,209,spearman_rho,activation_volume,activation_volume,1,0.4687747181727007,0.1144330549398466,-0.3543416632328541,4807,480700
fb1_qr,Independent quantile-regression scenarios,1,common_209,209,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2589641434262948,0.2580600139567341,-0.0009041294695606,502,50155
hist_paired,Historical paired scenarios,1,main_211,211,spearman_rho,day_ahead_price,capacity_price,0,0.404124287098665,0.4104223786256883,0.0062980915270233,5064,506400
hist_paired,Historical paired scenarios,1,main_211,211,spearman_rho,day_ahead_price,capacity_price,1,0.3719155400030419,0.3813202941671311,0.0094047541640892,4853,485300
hist_paired,Historical paired scenarios,1,main_211,211,spearman_rho,day_ahead_price,activation_volume,0,-0.1444731753375065,-0.0803727322209789,0.0641004431165276,5064,506400
hist_paired,Historical paired scenarios,1,main_211,211,spearman_rho,day_ahead_price,activation_volume,1,-0.1881855028991759,-0.1219373110759302,0.0662481918232456,4853,485300
hist_paired,Historical paired scenarios,1,main_211,211,spearman_rho,capacity_price,activation_volume,0,-0.0498793351406148,-0.0514334744583341,-0.0015541393177192,5064,506400
hist_paired,Historical paired scenarios,1,main_211,211,spearman_rho,capacity_price,activation_volume,1,-0.0457165786710576,-0.0593459478028691,-0.0136293691318114,4853,485300
hist_paired,Historical paired scenarios,1,main_211,211,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384152,0.94063074690036,0.0042463369619447,4853,485300
hist_paired,Historical paired scenarios,1,main_211,211,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.8544000101921095,0.0711219054349713,4853,485300
hist_paired,Historical paired scenarios,1,main_211,211,spearman_rho,activation_volume,activation_volume,1,0.46886524499604,0.4716856074502536,0.0028203624542135,4853,485300
hist_paired,Historical paired scenarios,1,main_211,211,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.4191372797215245,0.1607546367234968,507,50561
hist_paired,Historical paired scenarios,1,common_209,209,spearman_rho,day_ahead_price,capacity_price,0,0.4023380601509619,0.409952558592642,0.0076144984416801,5016,501600
hist_paired,Historical paired scenarios,1,common_209,209,spearman_rho,day_ahead_price,capacity_price,1,0.3703260756256845,0.3808502687118903,0.0105241930862058,4807,480700
hist_paired,Historical paired scenarios,1,common_209,209,spearman_rho,day_ahead_price,activation_volume,0,-0.1471066599905378,-0.0802679781528212,0.0668386818377165,5016,501600
hist_paired,Historical paired scenarios,1,common_209,209,spearman_rho,day_ahead_price,activation_volume,1,-0.1908691464223756,-0.1217928233121387,0.0690763231102368,4807,480700
hist_paired,Historical paired scenarios,1,common_209,209,spearman_rho,capacity_price,activation_volume,0,-0.0530813866637433,-0.051001268484631,0.0020801181791122,5016,501600
hist_paired,Historical paired scenarios,1,common_209,209,spearman_rho,capacity_price,activation_volume,1,-0.0494519364703486,-0.0587226204200748,-0.0092706839497261,4807,480700
hist_paired,Historical paired scenarios,1,common_209,209,spearman_rho,day_ahead_price,day_ahead_price,1,0.9365257124281304,0.9407025760806368,0.0041768636525061,4807,480700
hist_paired,Historical paired scenarios,1,common_209,209,spearman_rho,capacity_price,capacity_price,1,0.7815373266386816,0.854330414236263,0.0727930875975814,4807,480700
hist_paired,Historical paired scenarios,1,common_209,209,spearman_rho,activation_volume,activation_volume,1,0.4687747181727007,0.4715046618717095,0.0027299436990087,4807,480700
hist_paired,Historical paired scenarios,1,common_209,209,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2589641434262948,0.417470493080103,0.1585063496538082,502,50073
hist_independent,Historical independent scenarios,1,main_211,211,spearman_rho,day_ahead_price,capacity_price,0,0.404124287098665,0.2091485377740482,-0.1949757493246167,5064,506400
hist_independent,Historical independent scenarios,1,main_211,211,spearman_rho,day_ahead_price,capacity_price,1,0.3719155400030419,0.1795150135111285,-0.1924005264919133,4853,485300
hist_independent,Historical independent scenarios,1,main_211,211,spearman_rho,day_ahead_price,activation_volume,0,-0.1444731753375065,-0.0805992767409719,0.0638738985965345,5064,506400
hist_independent,Historical independent scenarios,1,main_211,211,spearman_rho,day_ahead_price,activation_volume,1,-0.1881855028991759,-0.1099562909015753,0.0782292119976005,4853,485300
hist_independent,Historical independent scenarios,1,main_211,211,spearman_rho,capacity_price,activation_volume,0,-0.0498793351406148,-0.0519568364601662,-0.0020775013195514,5064,506400
hist_independent,Historical independent scenarios,1,main_211,211,spearman_rho,capacity_price,activation_volume,1,-0.0457165786710576,-0.0607155159666785,-0.0149989372956209,4853,485300
hist_independent,Historical independent scenarios,1,main_211,211,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384152,0.9406484521078272,0.0042640421694122,4853,485300
hist_independent,Historical independent scenarios,1,main_211,211,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.8547059529499842,0.0714278481928459,4853,485300
hist_independent,Historical independent scenarios,1,main_211,211,spearman_rho,activation_volume,activation_volume,1,0.46886524499604,0.4712620764110725,0.0023968314150324,4853,485300
hist_independent,Historical independent scenarios,1,main_211,211,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.2445099513314604,-0.0138726916665671,507,50546
hist_independent,Historical independent scenarios,1,common_209,209,spearman_rho,day_ahead_price,capacity_price,0,0.4023380601509619,0.2092482231570911,-0.1930898369938708,5016,501600
hist_independent,Historical independent scenarios,1,common_209,209,spearman_rho,day_ahead_price,capacity_price,1,0.3703260756256845,0.179599442233063,-0.1907266333926214,4807,480700
hist_independent,Historical independent scenarios,1,common_209,209,spearman_rho,day_ahead_price,activation_volume,0,-0.1471066599905378,-0.0805904328985688,0.0665162270919689,5016,501600
hist_independent,Historical independent scenarios,1,common_209,209,spearman_rho,day_ahead_price,activation_volume,1,-0.1908691464223756,-0.1099313933265504,0.0809377530958252,4807,480700
hist_independent,Historical independent scenarios,1,common_209,209,spearman_rho,capacity_price,activation_volume,0,-0.0530813866637433,-0.0514009343937165,0.0016804522700267,5016,501600
hist_independent,Historical independent scenarios,1,common_209,209,spearman_rho,capacity_price,activation_volume,1,-0.0494519364703486,-0.0600171547393609,-0.0105652182690122,4807,480700
hist_independent,Historical independent scenarios,1,common_209,209,spearman_rho,day_ahead_price,day_ahead_price,1,0.9365257124281304,0.940744220989364,0.0042185085612335,4807,480700
hist_independent,Historical independent scenarios,1,common_209,209,spearman_rho,capacity_price,capacity_price,1,0.7815373266386816,0.8546381238549648,0.0731007972162832,4807,480700
hist_independent,Historical independent scenarios,1,common_209,209,spearman_rho,activation_volume,activation_volume,1,0.4687747181727007,0.4710037203754009,0.0022290022027001,4807,480700
hist_independent,Historical independent scenarios,1,common_209,209,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2589641434262948,0.2449659077315682,-0.0139982356947265,502,50158
