arm,method_name,target,evaluation_set,n_days,month,interval_level,coverage,coverage_deviation,average_width,n_valid
climatology,Rolling climatological scenarios,capacity_price,common_209,209,2026-08,0.9,0.8782051282051282,-0.0217948717948718,46.953604076738245,624
climatology,Rolling climatological scenarios,activation_volume,common_209,209,2026-02,0.9,0.8854166666666666,-0.0145833333333333,47.46603877997258,672
climatology,Rolling climatological scenarios,activation_volume,common_209,209,2026-03,0.9,0.8897849462365591,-0.0102150537634408,39.52563235607342,744
climatology,Rolling climatological scenarios,activation_volume,common_209,209,2026-04,0.9,0.8833333333333333,-0.0166666666666667,45.33281658200222,720
climatology,Rolling climatological scenarios,activation_volume,common_209,209,2026-05,0.9,0.8936781609195402,-0.0063218390804598,48.94028234745592,696
climatology,Rolling climatological scenarios,activation_volume,common_209,209,2026-06,0.9,0.9166666666666666,0.0166666666666666,50.53963618207423,720
climatology,Rolling climatological scenarios,activation_volume,common_209,209,2026-07,0.9,0.9408602150537636,0.0408602150537634,45.606327446146295,744
climatology,Rolling climatological scenarios,activation_volume,common_209,209,2026-08,0.9,0.9214743589743588,0.0214743589743588,41.58679587077975,624
climatology,Rolling climatological scenarios,activation_price,common_209,209,2026-02,0.9,0.8887043189368771,-0.0112956810631229,402.51173500361216,602
climatology,Rolling climatological scenarios,activation_price,common_209,209,2026-03,0.9,0.8196480938416423,-0.0803519061583577,355.7180830998154,682
climatology,Rolling climatological scenarios,activation_price,common_209,209,2026-04,0.9,0.8080357142857143,-0.0919642857142857,417.5904116613877,672
climatology,Rolling climatological scenarios,activation_price,common_209,209,2026-05,0.9,0.8260869565217391,-0.0739130434782608,414.42834045114887,667
climatology,Rolling climatological scenarios,activation_price,common_209,209,2026-06,0.9,0.7825464949928469,-0.1174535050071531,380.4418556484924,699
climatology,Rolling climatological scenarios,activation_price,common_209,209,2026-07,0.9,0.847672778561354,-0.0523272214386459,330.6712758196361,709
climatology,Rolling climatological scenarios,activation_price,common_209,209,2026-08,0.9,0.8512396694214877,-0.0487603305785123,391.88036151688686,605
fb1_qr,Independent quantile-regression scenarios,day_ahead_price,main_211,211,2026-02,0.9,0.8125,-0.0875,73.26281528644806,672
fb1_qr,Independent quantile-regression scenarios,day_ahead_price,main_211,211,2026-03,0.9,0.553763440860215,-0.346236559139785,98.2526214112768,744
fb1_qr,Independent quantile-regression scenarios,day_ahead_price,main_211,211,2026-04,0.9,0.7958333333333333,-0.1041666666666667,132.2267928299918,720
fb1_qr,Independent quantile-regression scenarios,day_ahead_price,main_211,211,2026-05,0.9,0.8602150537634409,-0.0397849462365591,118.00601464111148,744
fb1_qr,Independent quantile-regression scenarios,day_ahead_price,main_211,211,2026-06,0.9,0.7986111111111112,-0.1013888888888888,109.51630178881898,720
fb1_qr,Independent quantile-regression scenarios,day_ahead_price,main_211,211,2026-07,0.9,0.7983870967741935,-0.1016129032258065,107.63305647855285,744
fb1_qr,Independent quantile-regression scenarios,day_ahead_price,main_211,211,2026-08,0.9,0.7435897435897436,-0.1564102564102564,111.5985713145092,624
fb1_qr,Independent quantile-regression scenarios,capacity_price,main_211,211,2026-02,0.9,0.7886904761904762,-0.1113095238095238,42.81525494508275,672
fb1_qr,Independent quantile-regression scenarios,capacity_price,main_211,211,2026-03,0.9,0.7728494623655914,-0.1271505376344086,45.67190875112359,744
fb1_qr,Independent quantile-regression scenarios,capacity_price,main_211,211,2026-04,0.9,0.8222222222222222,-0.0777777777777778,47.78540386053005,720
fb1_qr,Independent quantile-regression scenarios,capacity_price,main_211,211,2026-05,0.9,0.8467741935483871,-0.0532258064516129,47.61302847636094,744
fb1_qr,Independent quantile-regression scenarios,capacity_price,main_211,211,2026-06,0.9,0.8791666666666667,-0.0208333333333333,34.73159978105523,720
fb1_qr,Independent quantile-regression scenarios,capacity_price,main_211,211,2026-07,0.9,0.8723118279569892,-0.0276881720430107,36.29844528351549,744
fb1_qr,Independent quantile-regression scenarios,capacity_price,main_211,211,2026-08,0.9,0.8493589743589743,-0.0506410256410256,25.689006153353333,624
fb1_qr,Independent quantile-regression scenarios,activation_volume,main_211,211,2026-02,0.9,0.8541666666666666,-0.0458333333333333,44.32813996449857,672
fb1_qr,Independent quantile-regression scenarios,activation_volume,main_211,211,2026-03,0.9,0.875,-0.025,53.89372167455668,744
fb1_qr,Independent quantile-regression scenarios,activation_volume,main_211,211,2026-04,0.9,0.8722222222222222,-0.0277777777777777,62.1374970187215,720
