arm,seed,target,scope,evaluation_set,n_days,mean_pinball,sample_crps,pit_ks_distance,n_valid,interval_level,coverage,average_width,zero_event_brier,positive_observation_crps,n_positive
climatology,1,day_ahead_price,all_cells,main_211,211,9.630388537258229,27.197978430089318,0.21603475513428116,5064,0.5,0.309044233807267,40.71350510934941,,,
climatology,1,day_ahead_price,all_cells,main_211,211,9.630388537258229,27.197978430089318,0.21603475513428116,5064,0.8,0.589652448657188,83.69339898362257,,,
climatology,1,day_ahead_price,all_cells,main_211,211,9.630388537258229,27.197978430089318,0.21603475513428116,5064,0.9,0.7063586097946287,114.36393461720677,,,
climatology,1,day_ahead_price,all_cells,main_211,211,9.630388537258229,27.197978430089318,0.21603475513428116,5064,0.98,0.8268167456556083,163.46825941022198,,,
climatology,1,capacity_price,all_cells,main_211,211,3.236569761835642,9.225333906550999,0.1810505529225908,5064,0.5,0.3678909952606635,19.05211491677557,,,
climatology,1,capacity_price,all_cells,main_211,211,3.236569761835642,9.225333906550999,0.1810505529225908,5064,0.8,0.6218404423380727,37.66453493942595,,,
climatology,1,capacity_price,all_cells,main_211,211,3.236569761835642,9.225333906550999,0.1810505529225908,5064,0.9,0.742693522906793,50.406081040071584,,,
climatology,1,capacity_price,all_cells,main_211,211,3.236569761835642,9.225333906550999,0.1810505529225908,5064,0.98,0.8619668246445498,74.2382019239557,,,
climatology,1,activation_volume,all_cells,main_211,211,2.7115403667888702,7.71937439100397,0.08086097946287524,5064,0.5,0.47788309636650866,15.369731446680385,0.05937663902053713,7.902439792880987,4758.0
climatology,1,activation_volume,all_cells,main_211,211,2.7115403667888702,7.71937439100397,0.08086097946287524,5064,0.8,0.7966034755134281,33.10840248049251,0.05937663902053713,7.902439792880987,4758.0
climatology,1,activation_volume,all_cells,main_211,211,2.7115403667888702,7.71937439100397,0.08086097946287524,5064,0.9,0.9048183254344392,45.761356392547185,0.05937663902053713,7.902439792880987,4758.0
climatology,1,activation_volume,all_cells,main_211,211,2.7115403667888702,7.71937439100397,0.08086097946287524,5064,0.98,0.966824644549763,72.04527690551848,0.05937663902053713,7.902439792880987,4758.0
climatology,1,activation_volume,nondegenerate_cells,main_211,211,2.7299093211675967,7.77132698508447,0.0763623510401939,4951,0.5,0.47889315289840434,15.377401041465625,0.060731831953140775,7.962268357725907,4645.0
climatology,1,activation_volume,nondegenerate_cells,main_211,211,2.7299093211675967,7.77132698508447,0.0763623510401939,4951,0.8,0.798828519491012,33.06263808407515,0.060731831953140775,7.962268357725907,4645.0
climatology,1,activation_volume,nondegenerate_cells,main_211,211,2.7299093211675967,7.77132698508447,0.0763623510401939,4951,0.9,0.9058776004847505,45.62323253713982,0.060731831953140775,7.962268357725907,4645.0
climatology,1,activation_volume,nondegenerate_cells,main_211,211,2.7299093211675967,7.77132698508447,0.0763623510401939,4951,0.98,0.967683296303777,71.7250863741401,0.060731831953140775,7.962268357725907,4645.0
climatology,1,activation_price,all_cells,main_211,211,24.2931311459385,64.26293912284378,0.18527532576712907,4758,0.5,0.4001681378730559,66.06740072631395,,,
climatology,1,activation_price,all_cells,main_211,211,24.2931311459385,64.26293912284378,0.18527532576712907,4758,0.8,0.7055485498108449,189.65656081344756,,,
climatology,1,activation_price,all_cells,main_211,211,24.2931311459385,64.26293912284378,0.18527532576712907,4758,0.9,0.832282471626734,386.2222211076855,,,
climatology,1,activation_price,all_cells,main_211,211,24.2931311459385,64.26293912284378,0.18527532576712907,4758,0.98,0.9277007145859605,847.6283942199509,,,
climatology,1,day_ahead_price,all_cells,common_209,209,9.656856014690137,27.264358235316354,0.21411483253588515,5016,0.5,0.3090111642743222,40.747072100839446,,,
climatology,1,day_ahead_price,all_cells,common_209,209,9.656856014690137,27.264358235316354,0.21411483253588515,5016,0.8,0.5877192982456141,83.67025702800949,,,
climatology,1,day_ahead_price,all_cells,common_209,209,9.656856014690137,27.264358235316354,0.21411483253588515,5016,0.9,0.7045454545454546,114.38170915536735,,,
climatology,1,day_ahead_price,all_cells,common_209,209,9.656856014690137,27.264358235316354,0.21411483253588515,5016,0.98,0.8257575757575758,163.52973601996703,,,
climatology,1,capacity_price,all_cells,common_209,209,3.224561902128361,9.191865006795028,0.1844976076555024,5016,0.5,0.3684210526315789,19.051344684479638,,,
climatology,1,capacity_price,all_cells,common_209,209,3.224561902128361,9.191865006795028,0.1844976076555024,5016,0.8,0.6216108452950558,37.68124560141845,,,
climatology,1,capacity_price,all_cells,common_209,209,3.224561902128361,9.191865006795028,0.1844976076555024,5016,0.9,0.7424242424242424,50.41005948765078,,,
climatology,1,capacity_price,all_cells,common_209,209,3.224561902128361,9.191865006795028,0.1844976076555024,5016,0.98,0.8624401913875598,74.26205385753515,,,
climatology,1,activation_volume,all_cells,common_209,209,2.721698975750138,7.748280495023926,0.08295853269537484,5016,0.5,0.47627591706539074,15.365740140646855,0.059588516746411475,7.934321311088064,4711.0
climatology,1,activation_volume,all_cells,common_209,209,2.721698975750138,7.748280495023926,0.08295853269537484,5016,0.8,0.79585326953748,33.1020105995564,0.059588516746411475,7.934321311088064,4711.0
climatology,1,activation_volume,all_cells,common_209,209,2.721698975750138,7.748280495023926,0.08295853269537484,5016,0.9,0.9047049441786283,45.737788931151194,0.059588516746411475,7.934321311088064,4711.0
climatology,1,activation_volume,all_cells,common_209,209,2.721698975750138,7.748280495023926,0.08295853269537484,5016,0.98,0.9665071770334929,72.02238501795145,0.059588516746411475,7.934321311088064,4711.0
climatology,1,activation_volume,nondegenerate_cells,common_209,209,2.7404818874249703,7.8014079033549075,0.07846420558841521,4903,0.5,0.47725882112992046,15.373392832101052,0.06096186008566183,7.995544950770982,4598.0
climatology,1,activation_volume,nondegenerate_cells,common_209,209,2.7404818874249703,7.8014079033549075,0.07846420558841521,4903,0.8,0.7980828064450336,33.05565085874299,0.06096186008566183,7.995544950770982,4598.0
climatology,1,activation_volume,nondegenerate_cells,common_209,209,2.7404818874249703,7.8014079033549075,0.07846420558841521,4903,0.9,0.9057719763410157,45.597769691653,0.06096186008566183,7.995544950770982,4598.0
climatology,1,activation_volume,nondegenerate_cells,common_209,209,2.7404818874249703,7.8014079033549075,0.07846420558841521,4903,0.98,0.9673669182133388,71.69853225349102,0.06096186008566183,7.995544950770982,4598.0
climatology,1,activation_price,all_cells,common_209,209,24.365394453802608,64.45832816835524,0.18489492676714075,4711,0.5,0.39949055402250055,66.08780564256747,,,
climatology,1,activation_price,all_cells,common_209,209,24.365394453802608,64.45832816835524,0.18489492676714075,4711,0.8,0.7057949479940565,189.79488113147028,,,
climatology,1,activation_price,all_cells,common_209,209,24.365394453802608,64.45832816835524,0.18489492676714075,4711,0.9,0.8320950965824666,386.0729480846338,,,
climatology,1,activation_price,all_cells,common_209,209,24.365394453802608,64.45832816835524,0.18489492676714075,4711,0.98,0.9280407556782,848.1245728628535,,,
fb1_qr,1,day_ahead_price,all_cells,main_211,211,7.8257398753677405,21.577570730052187,0.12322274881516593,5064,0.5,0.45201421800947866,43.52172720163717,,,
fb1_qr,1,day_ahead_price,all_cells,main_211,211,7.8257398753677405,21.577570730052187,0.12322274881516593,5064,0.8,0.6947077409162717,87.16931487313758,,,
fb1_qr,1,day_ahead_price,all_cells,main_211,211,7.8257398753677405,21.577570730052187,0.12322274881516593,5064,0.9,0.7697472353870458,107.2861804552106,,,
fb1_qr,1,day_ahead_price,all_cells,main_211,211,7.8257398753677405,21.577570730052187,0.12322274881516593,5064,0.98,0.8133886255924171,123.20015654632579,,,
fb1_qr,1,capacity_price,all_cells,main_211,211,2.7000325052833567,7.452201143711136,0.07365718799368089,5064,0.5,0.48795418641390204,13.937812617721313,,,
fb1_qr,1,capacity_price,all_cells,main_211,211,2.7000325052833567,7.452201143711136,0.07365718799368089,5064,0.8,0.7551342812006319,30.903545405229156,,,
fb1_qr,1,capacity_price,all_cells,main_211,211,2.7000325052833567,7.452201143711136,0.07365718799368089,5064,0.9,0.832345971563981,40.75807320238108,,,
fb1_qr,1,capacity_price,all_cells,main_211,211,2.7000325052833567,7.452201143711136,0.07365718799368089,5064,0.98,0.875,49.86830110529926,,,
fb1_qr,1,activation_volume,all_cells,main_211,211,2.8359661569735453,7.835046638410149,0.04541864139020535,5064,0.5,0.5019747235387045,14.950697881661052,0.05972458530805687,8.040620821813611,4758.0
fb1_qr,1,activation_volume,all_cells,main_211,211,2.8359661569735453,7.835046638410149,0.04541864139020535,5064,0.8,0.8031200631911533,36.609967601394985,0.05972458530805687,8.040620821813611,4758.0
fb1_qr,1,activation_volume,all_cells,main_211,211,2.8359661569735453,7.835046638410149,0.04541864139020535,5064,0.9,0.8900078988941548,51.39378282150898,0.05972458530805687,8.040620821813611,4758.0
fb1_qr,1,activation_volume,all_cells,main_211,211,2.8359661569735453,7.835046638410149,0.04541864139020535,5064,0.98,0.9395734597156398,63.02956078021171,0.05972458530805687,8.040620821813611,4758.0
fb1_qr,1,activation_volume,nondegenerate_cells,main_211,211,2.863284045808359,7.907422588895561,0.04645526156332058,4951,0.5,0.5007069278933549,15.008649770645262,0.06108771965259543,8.122765754769018,4645.0
fb1_qr,1,activation_volume,nondegenerate_cells,main_211,211,2.863284045808359,7.907422588895561,0.04645526156332058,4951,0.8,0.8020601898606342,36.68652356753587,0.06108771965259543,8.122765754769018,4645.0
fb1_qr,1,activation_volume,nondegenerate_cells,main_211,211,2.863284045808359,7.907422588895561,0.04645526156332058,4951,0.9,0.8905271662290446,51.4878205178998,0.06108771965259543,8.122765754769018,4645.0
fb1_qr,1,activation_volume,nondegenerate_cells,main_211,211,2.863284045808359,7.907422588895561,0.04645526156332058,4951,0.98,0.9408200363562916,63.03020324464239,0.06108771965259543,8.122765754769018,4645.0
fb1_qr,1,activation_price,all_cells,main_211,211,24.002954899406934,63.10196309667419,0.0661622530474989,4758,0.5,0.4558638083228247,71.57442979669311,,,
fb1_qr,1,activation_price,all_cells,main_211,211,24.002954899406934,63.10196309667419,0.0661622530474989,4758,0.8,0.7639764606977721,216.30983384805873,,,
fb1_qr,1,activation_price,all_cells,main_211,211,24.002954899406934,63.10196309667419,0.0661622530474989,4758,0.9,0.8684321143337537,406.2184900171685,,,
fb1_qr,1,activation_price,all_cells,main_211,211,24.002954899406934,63.10196309667419,0.0661622530474989,4758,0.98,0.942833123160992,910.3995905258358,,,
fb1_qr,1,day_ahead_price,all_cells,common_209,209,7.840568882351878,21.604427922183593,0.12420255183413076,5016,0.5,0.4519537480063796,43.37122551137689,,,
fb1_qr,1,day_ahead_price,all_cells,common_209,209,7.840568882351878,21.604427922183593,0.12420255183413076,5016,0.8,0.6935805422647527,86.8854955933631,,,
fb1_qr,1,day_ahead_price,all_cells,common_209,209,7.840568882351878,21.604427922183593,0.12420255183413076,5016,0.9,0.7679425837320574,107.01294905477084,,,
fb1_qr,1,day_ahead_price,all_cells,common_209,209,7.840568882351878,21.604427922183593,0.12420255183413076,5016,0.98,0.8120015948963317,122.93818529066556,,,
fb1_qr,1,capacity_price,all_cells,common_209,209,2.691611226333095,7.428196785463653,0.07436204146730463,5016,0.5,0.4870414673046252,13.790201836062076,,,
fb1_qr,1,capacity_price,all_cells,common_209,209,2.691611226333095,7.428196785463653,0.07436204146730463,5016,0.8,0.7549840510366826,30.68959255012665,,,
fb1_qr,1,capacity_price,all_cells,common_209,209,2.691611226333095,7.428196785463653,0.07436204146730463,5016,0.9,0.8329346092503987,40.5667050692582,,,
fb1_qr,1,capacity_price,all_cells,common_209,209,2.691611226333095,7.428196785463653,0.07436204146730463,5016,0.98,0.8757974481658692,49.748467052686436,,,
fb1_qr,1,activation_volume,all_cells,common_209,209,2.8434492500809343,7.855003685792922,0.045255183413078104,5016,0.5,0.5007974481658692,14.910875052490251,0.06000468500797449,8.063174771559588,4711.0
fb1_qr,1,activation_volume,all_cells,common_209,209,2.8434492500809343,7.855003685792922,0.045255183413078104,5016,0.8,0.8020334928229665,36.46562596577269,0.06000468500797449,8.063174771559588,4711.0
fb1_qr,1,activation_volume,all_cells,common_209,209,2.8434492500809343,7.855003685792922,0.045255183413078104,5016,0.9,0.8897527910685805,51.250362023126975,0.06000468500797449,8.063174771559588,4711.0
fb1_qr,1,activation_volume,all_cells,common_209,209,2.8434492500809343,7.855003685792922,0.045255183413078104,5016,0.98,0.9395933014354066,62.94924980250836,0.06000468500797449,8.063174771559588,4711.0
fb1_qr,1,activation_volume,nondegenerate_cells,common_209,209,2.871207042685931,7.928548143718177,0.04629818478482561,4903,0.5,0.49949010809708344,14.96847648481016,0.06138761982459719,8.146713660184895,4598.0
fb1_qr,1,activation_volume,nondegenerate_cells,common_209,209,2.871207042685931,7.928548143718177,0.04629818478482561,4903,0.8,0.8009382011013665,36.539604750912034,0.06138761982459719,8.146713660184895,4598.0
fb1_qr,1,activation_volume,nondegenerate_cells,common_209,209,2.871207042685931,7.928548143718177,0.04629818478482561,4903,0.9,0.8902712624923517,51.342014905977024,0.06138761982459719,8.146713660184895,4598.0
fb1_qr,1,activation_volume,nondegenerate_cells,common_209,209,2.871207042685931,7.928548143718177,0.04629818478482561,4903,0.98,0.9408525392616766,62.9480476203578,0.06138761982459719,8.146713660184895,4598.0
fb1_qr,1,activation_price,all_cells,common_209,209,24.07038385488964,63.254994116344626,0.06359583952451708,4711,0.5,0.4557418807047336,71.5608640869467,,,
fb1_qr,1,activation_price,all_cells,common_209,209,24.07038385488964,63.254994116344626,0.06359583952451708,4711,0.8,0.763744427934621,216.5032456330739,,,
fb1_qr,1,activation_price,all_cells,common_209,209,24.07038385488964,63.254994116344626,0.06359583952451708,4711,0.9,0.8686053916365952,406.4745094074048,,,
fb1_qr,1,activation_price,all_cells,common_209,209,24.07038385488964,63.254994116344626,0.06359583952451708,4711,0.98,0.9428995966886011,910.4489475985611,,,
hist_paired,1,day_ahead_price,all_cells,main_211,211,9.6266598936618,27.205102009233133,0.21447077409162718,5064,0.5,0.31516587677725116,40.727635331696796,,,
hist_paired,1,day_ahead_price,all_cells,main_211,211,9.6266598936618,27.205102009233133,0.21447077409162718,5064,0.8,0.5906398104265402,83.53561921297154,,,
hist_paired,1,day_ahead_price,all_cells,main_211,211,9.6266598936618,27.205102009233133,0.21447077409162718,5064,0.9,0.7010268562401264,113.38915477544629,,,
hist_paired,1,day_ahead_price,all_cells,main_211,211,9.6266598936618,27.205102009233133,0.21447077409162718,5064,0.98,0.8270142180094787,163.00237567551042,,,
