datetime,Up,Down,sp,cloud_amount,wind_speed,precipitation_amount,pressure,air_temperature,relative_humidity,wind_direction,Down_Cap,Up_Cap,is_public_holiday,electricity_consumption,electricity_consumption_Finnish_networks,electricity_consumption_forecast
2024-06-20 22:00:00+00:00,33.92895869565217,-30.733325,-2.0,1.8111111111111111,2.353333333333333,0.0,1006.7744444444444,11.573333333333332,84.87777777777778,249.4333333333333,23.82,9.8,1,25735.78,3617520.07,26816.5
2024-06-20 23:00:00+00:00,29.83621086956521,-31.18517058823529,-2.43,1.8111111111111111,2.311111111111111,0.0,1006.7844444444446,10.88,86.96666666666667,246.7888888888889,0.0,0.0,1,25082.63,3447580.368,26178.8
2024-06-21 00:00:00+00:00,25.743463043478258,-26.234158823529413,-5.01,1.5666666666666669,2.248888888888889,0.0,1006.781111111111,10.563333333333333,86.14444444444445,253.97777777777776,0.0,0.0,1,24950.97,3328815.372,25513.2
2024-06-21 01:00:00+00:00,21.6507152173913,-21.28314705882353,-6.58,2.1333333333333333,2.278888888888889,0.0,1006.75,10.505555555555556,85.58888888888889,242.0555555555556,0.0,0.0,1,24850.31,3248613.632,25324.4
2024-06-21 02:00:00+00:00,17.557967391304345,-16.33213529411765,-2.51,3.111111111111111,2.356666666666667,0.0,1006.848888888889,11.137777777777778,84.48888888888888,253.36666666666667,0.0,0.0,1,25193.84,3265733.75,25520.7
2024-06-21 03:00:00+00:00,21.25,-15.684438235294117,-2.07,3.2,2.4211111111111108,0.0,1006.8622222222222,12.432222222222224,81.68888888888888,229.86666666666667,29.88,10.27,1,26032.11,3402743.893,26415.5
2024-06-21 04:00:00+00:00,62.39665,-29.916666666666664,-1.72,3.077777777777777,2.954444444444445,0.0,1006.9066666666666,13.764444444444443,74.34444444444445,241.96666666666667,29.88,10.86,1,26618.3,3512532.144,27101.4
2024-06-21 05:00:00+00:00,26.01778333333333,-40.725008333333335,-0.37,3.033333333333333,3.523333333333333,0.0,1006.9266666666666,14.77,67.15555555555555,252.63333333333333,30.57,10.86,1,27485.23,3660885.259,27800.5
2024-06-21 06:00:00+00:00,29.051872222222222,-41.283325,-0.11,3.055555555555556,3.832222222222222,0.0,1007.12,15.625555555555556,61.322222222222216,277.9888888888889,29.88,11.63,1,28125.84,3797649.362,28637.4
2024-06-21 07:00:00+00:00,23.16371944444445,-57.5,-0.11,3.722222222222222,4.278888888888889,0.0,1007.2733333333332,16.18111111111111,57.77777777777778,282.9888888888889,23.82,9.8,1,28566.33,3907126.153,29399.8
2024-06-21 08:00:00+00:00,15.0,-33.0,-0.68,4.0,5.062222222222222,0.0,1007.57,16.73,53.18888888888888,287.1777777777778,23.82,9.8,1,28773.47,3966016.381,29946.2
2024-06-21 09:00:00+00:00,15.0,-45.0,-0.89,2.4,5.848888888888889,0.0,1007.9888888888888,17.425555555555555,46.43333333333333,287.91111111111115,22.96,9.8,1,28708.69,3976489.868,30172.4
2024-06-21 10:00:00+00:00,19.6875,-22.125,-1.7,2.0222222222222226,6.517777777777778,0.0,1008.3666666666668,17.77111111111111,43.17777777777778,290.76666666666665,23.82,8.92,1,28168.71,3936951.526,30332.2
2024-06-21 11:00:00+00:00,20.625,-38.0,-1.75,1.811111111111111,6.47,0.0,1008.7722222222222,18.114444444444448,42.11111111111111,295.4888888888889,22.96,9.8,1,28508.52,3932039.105,30300.7
2024-06-21 12:00:00+00:00,22.1875,-42.1875,-1.5,2.2333333333333334,6.3100000000000005,0.0,1009.1166666666668,18.05666666666667,42.56666666666667,297.5,26.77,9.8,1,28672.84,3954489.77,30307.0
2024-06-21 13:00:00+00:00,43.95,-23.8125,-1.0,2.488888888888889,6.215555555555556,0.0,1009.4277777777776,17.90666666666667,44.34444444444444,295.3777777777778,22.96,9.8,1,28742.44,3994867.273,30288.8
2024-06-21 14:00:00+00:00,41.6875,-19.875,-0.1,2.2888888888888888,5.951111111111112,0.0,1009.7511111111112,17.741111111111113,45.56666666666667,301.26666666666665,23.82,10.27,1,28824.82,4005675.503,30258.2
2024-06-21 15:00:00+00:00,119.26,-43.125,-0.01,2.222222222222222,5.757777777777778,0.0,1009.9733333333334,17.506666666666668,46.93333333333333,300.58888888888885,23.82,9.8,1,28443.02,3999554.696,30045.6
2024-06-21 16:00:00+00:00,37.59665,-37.91666666666666,0.01,2.3222222222222224,5.4,0.0,1010.1633333333334,17.141111111111112,48.23333333333333,304.35555555555555,22.96,10.0,1,28074.21,4000388.337,29527.5
2024-06-21 17:00:00+00:00,31.75,-25.08333333333333,4.03,1.8444444444444443,5.085555555555556,0.0,1010.3166666666668,16.37777777777778,51.06666666666667,304.1222222222222,22.96,10.27,1,27633.68,3957285.23,29010.1
2024-06-21 18:00:00+00:00,23.625,-20.25,1.57,2.344444444444444,4.283333333333333,0.0,1010.4277777777776,15.636666666666668,54.23333333333333,303.4222222222222,22.96,10.27,1,26877.74,3815560.061,28038.0
2024-06-21 19:00:00+00:00,53.45389642857143,-10.41,1.31,1.6777777777777778,3.361111111111111,0.0,1010.77,14.612222222222222,58.95555555555556,292.3777777777778,24.0,10.0,1,27274.18,3963020.523,27985.2
2024-06-21 20:00:00+00:00,112.5,-45.725,0.01,3.988888888888889,2.8855555555555554,0.0,1011.18,13.485555555555557,64.41111111111111,292.9888888888889,26.77,9.8,1,26999.72,3927956.808,27805.9
2024-06-21 21:00:00+00:00,129.66892857142858,-45.93,0.0,2.9222222222222225,2.6633333333333336,0.0,1011.4933333333336,12.56111111111111,69.33333333333333,289.03333333333336,26.77,9.8,1,26150.72,3722599.45,26719.8
2024-06-21 22:00:00+00:00,94.09859375,-31.3358,-0.01,2.2222222222222223,2.6666666666666665,0.0,1011.68,11.633333333333333,74.63333333333334,283.05555555555554,20.0,8.0,1,25360.02,3511023.541,25502.2
2024-06-21 23:00:00+00:00,95.731162109375,-61.200625,-0.04,0.7888888888888889,2.5444444444444447,0.0,1012.02,10.776666666666667,78.43333333333334,281.6666666666667,0.0,0.0,1,24886.7,3359745.699,24555.2
2024-06-22 00:00:00+00:00,95.83319763183594,-60.1000390625,-0.06,1.1444444444444444,2.6155555555555554,0.0,1012.2333333333332,10.086666666666668,81.92222222222222,275.7555555555556,0.0,0.0,1,24338.6,3228184.53,24346.5
2024-06-22 01:00:00+00:00,95.83957485198977,-60.03125244140625,0.01,0.8444444444444444,2.701111111111111,0.0,1012.3844444444444,10.02111111111111,83.08888888888889,270.68888888888887,0.0,0.0,1,24136.78,3128647.329,23888.3
2024-06-22 02:00:00+00:00,95.83997342824937,-60.026953277587886,3.64,0.5777777777777777,2.542222222222222,0.0,1012.4622222222222,10.784444444444444,81.56666666666666,260.3111111111111,0.0,0.0,1,24565.56,3114012.736,23990.7
2024-06-22 03:00:00+00:00,95.83999833926558,-36.17389,20.82,0.5222222222222223,2.796666666666667,0.0,1012.3611111111112,12.316666666666666,75.96666666666667,267.9888888888889,22.96,7.97,1,24958.1,3145523.335,24764.7
2024-06-22 04:00:00+00:00,95.8399998962041,-31.5,32.03,0.5444444444444445,2.875555555555556,0.0,1012.3155555555556,13.944444444444445,68.87777777777778,298.8333333333333,20.0,7.97,1,24915.76,3161887.333,25388.7
2024-06-22 05:00:00+00:00,84.37499999221531,0.4762499999999998,34.75,0.8111111111111111,2.506666666666667,0.0,1012.4333333333332,15.305555555555555,62.35555555555555,304.24444444444447,22.96,8.0,1,25268.46,3261084.23,25760.0
2024-06-22 06:00:00+00:00,49.025,-5.161875,35.59,1.011111111111111,2.5044444444444443,0.0,1012.3644444444444,16.63111111111111,55.388888888888886,283.7888888888889,20.0,8.0,1,25785.2,3382159.971,26704.5
2024-06-22 07:00:00+00:00,60.25001875,-34.8875,34.34,1.2888888888888888,2.9855555555555555,0.0,1012.1166666666668,17.816666666666666,49.55555555555555,279.9,22.96,6.97,1,26089.13,3503579.075,27201.3
2024-06-22 08:00:00+00:00,62.359383984375,-32.666675,12.85,1.6444444444444444,3.3455555555555554,0.0,1011.9277777777778,18.44333333333333,46.94444444444444,254.1555555555556,22.96,7.97,1,26566.6,3598934.72,29110.8
2024-06-22 09:00:00+00:00,39.7484521484375,-27.125,3.69,1.922222222222222,3.565555555555556,0.0,1011.8511111111112,18.87333333333333,46.06666666666667,260.6111111111111,22.96,8.39,1,27214.11,3637989.323,29358.9
2024-06-22 10:00:00+00:00,32.9671984375,-42.625,2.72,1.8111111111111111,3.673333333333333,0.0,1011.8511111111112,19.383333333333333,44.11111111111111,212.5888888888889,23.82,8.0,1,27187.37,3647561.638,29424.5
2024-06-22 11:00:00+00:00,34.53702021484375,-45.0,0.1,2.211111111111111,3.845555555555556,0.0,1011.7111111111112,19.725555555555555,43.02222222222222,243.5,22.96,8.0,1,27160.24,3684191.429,29526.7
2024-06-22 12:00:00+00:00,34.63513407592773,-29.416675,0.22,2.7888888888888888,3.922222222222222,0.0,1011.587777777778,19.855555555555554,42.72222222222221,254.9333333333333,22.96,8.0,1,27396.45,3717938.44,29296.2
2024-06-22 13:00:00+00:00,57.35311465759277,-20.770434375,3.7,3.388888888888889,3.632222222222224,0.0,1011.3655555555556,19.76555555555556,43.3,217.16666666666663,22.96,8.0,1,27574.36,3764638.849,29339.3
2024-06-22 14:00:00+00:00,82.3625,-28.012967578125,11.74,2.7777777777777777,3.312222222222222,0.0,1011.12,19.756666666666664,42.66666666666666,237.2333333333333,23.82,8.44,1,27574.93,3817501.297,29486.2
2024-06-22 15:00:00+00:00,65.09970625,-43.125,35.08,2.2111111111111112,2.8366666666666664,0.0,1010.7844444444444,19.774444444444445,42.46666666666667,232.0555555555556,18.02,9.4,1,27492.02,3859752.716,29370.2
2024-06-22 16:00:00+00:00,64.39655859375,-10.7249875,36.59,2.388888888888889,2.5544444444444445,0.0,1010.5244444444444,19.576666666666664,43.86666666666667,213.9111111111111,17.34,8.0,1,27194.04,3898805.13,28969.3
2024-06-22 17:00:00+00:00,64.57589819335936,-27.5,36.19,1.411111111111111,2.306666666666666,0.0,1010.2866666666667,18.97888888888889,45.95555555555556,182.57777777777773,17.34,10.0,1,26978.24,3894827.132,28611.6
2024-06-22 18:00:00+00:00,64.58710691833494,-30.0,35.62,0.7666666666666667,1.965555555555556,0.0,1010.2744444444444,18.07,51.01111111111111,169.03333333333333,17.34,8.0,1,26260.23,3769956.119,27744.3
2024-06-22 19:00:00+00:00,55.144555429458606,-38.0,34.42,0.5111111111111111,1.701111111111111,0.0,1010.468888888889,16.054444444444446,60.74444444444444,157.92222222222225,19.0,9.4,1,26565.54,3915593.625,27799.7
