,datetime,Up,Down,sp,cloud_amount,wind_speed,precipitation_amount,pressure,air_temperature,relative_humidity,wind_direction,date,Down_Cap,Up_Cap,is_public_holiday,electricity_consumption,electricity_consumption_Finnish_networks,electricity_consumption_forecast
955,2024-07-30 17:00:00+00:00,40.23738098144531,-12.251070022583008,22.19,4.8,3.963333333333333,0.0466666666666666,1007.5044444444444,18.61,69.42222222222222,259.34444444444443,2024-07-30,9.17,16.22,0,32420.98,4568565.996,32751.800000000003
956,2024-07-30 18:00:00+00:00,44.958621978759766,-18.66741943359375,20.94,4.822222222222222,3.33,0.0599999999999999,1007.2844444444444,17.66111111111111,73.7,277.85555555555555,2024-07-30,9.11,16.22,0,31272.34,4356416.081,31595.6
957,2024-07-30 19:00:00+00:00,47.887657165527344,-29.608444213867188,18.08,4.877777777777778,3.0644444444444447,0.02,1007.1655555555556,16.80777777777778,77.3,307.0,2024-07-30,13.36,14.35,0,31736.9,4468919.796,31582.1
958,2024-07-30 20:00:00+00:00,47.887657165527344,-27.53684425354004,15.18,4.633333333333334,3.26,0.0533333333333333,1006.9922222222224,16.182222222222222,80.68888888888888,305.9,2024-07-30,14.34,14.04,0,30525.94,4231955.915,31070.0
959,2024-07-30 21:00:00+00:00,47.887657165527344,-27.443191528320312,9.99,4.633333333333334,3.141111111111111,0.0533333333333333,1006.747777777778,15.705555555555554,84.12222222222223,300.88888888888886,2024-07-30,14.95,13.76,0,29182.88,3842241.267,29519.0
960,2024-07-30 22:00:00+00:00,47.02642822265625,-32.56017303466797,12.36,4.644444444444445,2.897777777777778,0.08,1006.4311111111112,15.291111111111112,87.02222222222221,289.38888888888886,2024-07-31,20.88,15.98,0,28135.88,3562373.659,28071.8
961,2024-07-30 23:00:00+00:00,47.02642822265625,-24.30750274658203,8.0,4.633333333333334,2.7766666666666664,0.0133333333333333,1006.1022222222222,14.885555555555555,89.73333333333333,276.6,2024-07-31,16.56,11.4,0,27826.68,3438469.343,27355.6
962,2024-07-31 00:00:00+00:00,47.53346633911133,-22.42619514465332,4.98,4.7,2.7577777777777777,0.0066666666666666,1005.7433333333336,14.611111111111112,91.77777777777776,277.5111111111111,2024-07-31,17.0,11.16,0,27791.78,3405060.095,27098.9
963,2024-07-31 01:00:00+00:00,41.16952133178711,-27.443267822265625,4.98,4.822222222222222,2.7722222222222226,0.0,1005.3444444444444,14.404444444444444,93.63333333333334,283.7111111111111,2024-07-31,16.56,11.16,0,27490.63,3348096.405,26826.5
964,2024-07-31 02:00:00+00:00,41.16952133178711,-13.177292823791504,4.94,5.966666666666667,2.8366666666666664,0.0066666666666666,1005.1377777777776,14.4,94.14444444444445,256.2888888888889,2024-07-31,16.56,11.16,0,28122.38,3406634.467,26918.6
