delivery_day,strategy,planned_profit_eur,energy_eur,capacity_eur,activation_eur,shortfall_cost_eur,schedule_gap_cost_eur,total_eur,committed_mw_hours,required_activation_mwh,delivered_activation_mwh,reserve_power_gap_mwh,reserve_energy_gap_mwh,day_ahead_gap_mwh,slots_with_shortfall,slots_with_schedule_gap,min_soc_mwh,max_soc_mwh,terminal_soc_mwh,terminal_soc_deviation_mwh,cycles
2026-01-28,B0,456.49427989863125,318.48896196202173,0.0,0.0,0.0,5.364775290672696e-13,318.4889619620212,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-15,0,0,0.0,7.999999999999999,4.399999999999999,-1.7763568394002505e-15,1.968908891458577
2026-01-28,B1,4610.631835128013,-15.896297394142906,3761.16,3515.2873000000004,97.15845200000007,0.0,7163.392550605858,72.0,4.6264,3.9999999999999996,0.0,0.6264000000000004,0.0,11,0,0.0,4.338609156373123,0.06139084362687685,-4.338609156373123,0.125
2026-01-28,Oracle,3851.188547025063,204.73473027274224,3646.45381675232,1891.384085887008,1413.9740535959916,358.9328045443438,3969.665774771734,92.6243644341657,9.753548708221395,6.468120805265493,0.21639999999999993,3.0690279029559013,2.4681208052654933,28,3,-1.3877787807814457e-17,4.025578029805,0.06139084362687651,-4.338609156373124,0.4219544457292887
2026-01-29,B0,509.157390496114,169.2745655113044,0.0,0.0,0.0,1.421601725226651e-12,169.27456551130297,0.0,0.0,0.0,0.0,0.0,1.6653345369377348e-15,0,0,0.0,7.999999999999999,4.399999999999997,-3.552713678800501e-15,1.7719544457292884
2026-01-29,B1,3747.7600000000007,0.0,1841.4,3091.7603622325505,658.0520370428967,0.0,4275.108325189654,68.0,6.7172,4.05659956120887,0.0,2.6606004387911306,0.0,18,0,0.0,4.4,0.0,-4.4,0.0
2026-01-29,Oracle,1956.3333245732167,138.09308479973828,1818.2402397734786,911.4617178373503,806.6049267878218,32.08747224612964,2029.1026433766162,92.6243644341657,7.98673023874988,4.349270406510609,0.0,3.6374598322392715,0.3492704065106089,22,1,0.0,5.875816957039718,0.06139084362687642,-4.338609156373124,0.4219544457292887
2026-01-30,B0,329.9772696368312,181.1356721935261,0.0,0.0,0.0,1.6898482613214582e-13,181.13567219352592,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0,0,0.0,7.999999999999999,4.400000000000001,8.881784197001252e-16,1.1719544457292885
2026-01-30,B1,1841.3999999999999,0.0,1283.6399999999999,769.3436427989391,419.23197118917386,0.0,1633.751671609765,68.0,6.5572,4.05659956120887,0.0,2.50060043879113,0.0,27,0,0.0,4.4,0.0,-4.4,0.0
2026-01-30,Oracle,1366.879457718852,93.91581337719518,1272.963644341657,1016.7588494179337,445.46999195767717,313.44843086914364,1624.719884309965,92.6243644341657,9.911686147896365,6.806999561208871,0.0,3.1046865866874933,2.7504,34,4,0.0,4.018202394239165,0.0,-4.4,0.4219544457292887
2026-01-31,B0,234.8944831796823,-37.64939056311181,0.0,0.0,0.0,4.516387264175137e-14,-37.64939056311185,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-16,0,0,0.0,7.999999999999999,4.4,0.0,0.9219544457292886
2026-01-31,B1,1316.1703945605066,-31.094108541687902,349.40000000000003,36.806563999999995,0.0,0.0,355.1124554583121,60.0,0.3464,0.3464,0.0,0.0,0.0,0,0,3.9628856034312103,7.592566023652965,4.024276447058088,-0.3757235529419125,0.375
2026-01-31,Oracle,384.26907313211365,22.51163237857628,361.75744075353737,154.82575662263298,0.0,0.0,539.0948297547466,83.91946315633763,1.3160525093452542,1.3160525093452542,0.0,0.0,0.0,0,0,2.3071504720199862,4.252366363215679,2.9725406331717146,-1.4274593668282858,0.33042505484889123
2026-02-01,B0,41.24642730378993,-42.10580172883124,0.0,0.0,0.0,-1.2212453270876722e-14,-42.105801728831224,0.0,0.0,0.0,0.0,0.0,1.2212453270876722e-15,0,0,0.0,7.5925660236529655,4.4,0.0,1.125
2026-02-01,B1,335.79130643190973,-40.85582164754882,306.36,388.115392,0.0,0.0,653.6195703524511,24.0,2.5716,2.5716,0.0,0.0,0.0,0,0,1.5493173297408414,7.999999999999999,1.6107081733677193,-2.7892918266322813,0.7969544457292888
2026-02-01,Oracle,386.8770069266045,19.264880432845644,367.61212649375875,464.46487424547263,9.02368306135282,0.0,842.3181981107242,92.43807200925087,5.2219011903395955,4.000000000000002,0.0,1.2219011903395949,0.0,5,0,0.0,6.583551284568516,0.06139084362687685,-4.338609156373123,0.4320749451511089
2026-02-02,B0,100.16611610514379,42.043549454828835,0.0,0.0,0.0,1.3325174297307284e-13,42.0435494548287,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-16,0,0,0.0,7.999999999999999,4.400000000000001,8.881784197001252e-16,0.9320749451511088
2026-02-02,B1,327.50898943271534,-6.757784443281224,276.28000000000003,146.940796,0.0,0.0,416.4630115567188,24.0,0.9688,0.9688,0.0,0.0,0.0,0,0,2.2031457296062715,7.999999999999999,3.3491888623264296,-1.0508111376735707,0.5570749451511089
2026-02-02,Oracle,629.7207236112248,101.85748190231476,527.8632417089101,936.1009162952816,810.8537671719095,444.6471558206099,310.3207169139872,92.6243644341657,12.696354197966057,7.37563556583431,1.1048,4.215918632131746,3.37563556583431,38,4,0.0,3.673282966307502,0.06139084362687685,-4.338609156373123,0.42195444572928875
2026-02-03,B0,198.5310371330795,31.04423322013156,0.0,0.0,0.0,1.2666756532553337e-13,31.04423322013143,0.0,0.0,0.0,0.0,0.0,1.2212453270876722e-15,0,0,0.0,7.999999999999999,4.400000000000001,8.881784197001252e-16,1.1344544457292884
2026-02-03,B1,568.8227981899418,8.171866571226985,609.8399999999999,2561.90316,3.260000000000003,0.0,3176.6550265712267,44.0,2.7172000000000005,2.6672000000000002,0.050000000000000044,0.0,0.0,1,0,1.4456245709035225,7.999999999999999,1.5070154145303991,-2.892984585469601,0.42195444572928875
2026-02-03,Oracle,809.3196009622079,177.01174549181593,632.3078554703918,901.6228776435998,5.5248570138450415,77.56111734742537,1627.856504244537,82.32512711316687,4.753584333002632,4.662179777575561,0.007804555427071147,0.08360000000000005,0.6621797775755602,2,1,0.0,5.933498928664242,0.061390843626876024,-4.338609156373124,1.0082172430748746
2026-02-04,B0,239.25293795206426,65.27542861922899,0.0,0.0,0.0,4.474987047586865e-13,65.27542861922855,0.0,0.0,0.0,0.0,0.0,4.551914400963142e-15,0,0,0.0,7.999999999999999,4.3999999999999995,-8.881784197001252e-16,2.0665293908803974
2026-02-04,B1,670.5584499734539,-66.86191761719002,712.6800000000001,180.453824,0.0,0.0,826.2719063828101,40.0,1.3604,1.3604,0.0,0.0,0.0,0,0,2.468273325624268,7.999999999999999,2.9244390259175006,-1.4755609740824998,1.0124999999999997
2026-02-04,Oracle,973.6057875973298,80.56578759732983,893.0400000000001,505.06748800000014,238.93021999999996,0.0,1239.74305559733,92.0,5.836,4.0,0.0,1.8359999999999996,0.0,19,0,0.0,6.342651302265467,0.061390843626877516,-4.338609156373123,0.42195444572928875
2026-02-05,B0,159.1037247849913,41.18085971022197,0.0,0.0,0.0,9.122702593344912e-14,41.180859710221874,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-16,0,0,0.0,7.999999999999999,4.4,0.0,1.2508249451511086
2026-02-05,B1,891.2411791687662,73.03904915847166,573.12,455.035884,0.0,0.0,1101.1949331584717,56.0,3.168,3.168,0.0,0.0,0.0,0,0,0.9638215481524848,7.999999999999999,0.9638215481524848,-3.436178451847516,0.425
2026-02-05,Oracle,743.5588700049593,218.1095622869861,525.4493077179734,1036.7663706812882,23.835600593984918,451.1926372343024,1305.2970028579603,79.20127113166862,8.065758355895872,7.615368202318975,0.05719999999999992,0.39319015357689613,3.5587686411101047,10,5,-2.7755575615628914e-17,5.863664288329983,-6.938893903907228e-18,-4.4,0.8570749451511086
2026-02-06,B0,272.2065236533807,28.109146336217293,0.0,0.0,0.0,3.9593328615694645e-14,28.109146336217254,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-16,0,0,0.0,7.999999999999999,4.399999999999996,-4.440892098500626e-15,1.5695749451511085
2026-02-06,B1,678.3666356061938,-51.896331525818084,432.64,174.328508,0.0,0.0,555.0721764741819,44.0,1.0972,1.0972,0.0,0.0,0.0,0,0,0.6243644341656907,7.999999999999999,3.20991950840685,-1.1900804915931502,0.85
2026-02-06,Oracle,663.6541004208204,101.85776128002594,561.7963391407944,614.3522681636191,229.78767576380872,7.373149029771916,1040.8455437908588,92.6243644341657,6.152339068267651,4.187352337051605,0.0,1.9649867312160443,0.1307527758427366,33,1,0.0,6.219868663140107,0.0,-4.4,0.42195444572928875
2026-02-07,B0,216.81566219781382,8.24140493645885,0.0,0.0,0.0,1.3053891301240128e-13,8.24140493645872,0.0,0.0,0.0,0.0,0.0,1.2212453270876722e-15,0,0,0.0,7.999999999999999,4.400000000000001,8.881784197001252e-16,1.1719544457292885
2026-02-07,B1,556.8249090305097,-33.270517648241764,943.72,256.602444,0.0,0.0,1167.051926351758,40.0,1.9567999999999999,1.9567999999999999,0.0,0.0,0.0,0,0,2.216161557075391,7.999999999999999,2.277552400702268,-2.1224475992977325,0.5282044457292887
2026-02-07,Oracle,1166.0297337376003,38.78973373760036,1127.2399999999998,739.764372,123.954492,249.63075600000005,1532.2088577376,88.0,6.97,5.848000000000001,0.0,1.1219999999999999,1.8444000000000003,20,2,0.0,4.385682589783969,0.0574860953861417,-4.342513904613859,0.5
2026-02-08,B0,148.86621316651525,102.76490079306481,0.0,0.0,0.0,2.8046898137290557e-13,102.76490079306453,0.0,0.0,0.0,0.0,0.0,2.1094237467877974e-15,0,0,0.0,7.999999999999999,4.4,0.0,1.1719544457292885
2026-02-08,B1,1095.4007847362077,-1.7884650967155267,232.12,97.847636,0.0,0.0,328.17917090328444,24.0,0.6888000000000001,0.6888000000000001,0.0,0.0,0.0,0,0,3.5915006596456704,7.999999999999999,3.6528915032725475,-0.7471084967274528,0.5282044457292887
2026-02-08,Oracle,542.586846210334,77.42320186867693,465.1636443416569,782.3217607966433,44.557432623257725,253.54715373307695,1026.8040206506423,92.6243644341657,6.369224323140294,5.841952246743132,0.0,0.5272720763971621,1.819552246743131,20,3,0.0,5.158388880534022,0.03709463235118693,-4.362905367648813,0.4219544457292887
2026-02-09,B0,133.6993614572924,474.01840761608105,0.0,0.0,0.0,1.4309387008637486e-13,474.0184076160809,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-16,0,0,0.0,7.999999999999999,4.4,0.0,0.9219544457292886
2026-02-09,B1,332.1652968235294,-29.205292294117637,1267.8,162.73405200000002,0.0,0.0,1401.3287597058822,36.0,1.0432,1.0432,0.0,0.0,0.0,0,0,3.2684907320178884,4.4,3.2684907320178884,-1.131509267982112,0.125
2026-02-09,Oracle,1954.4356307551136,267.1956307551137,1687.2399999999998,417.27532930000007,0.0,0.0,2371.7109600551134,90.3,2.7005600000000003,2.7005600000000003,0.0,0.0,0.0,0,0,1.463673184994037,7.9245082006791066,1.47083141416625,-2.92916858583375,0.5282044457292887
2026-02-10,B0,860.7630257131325,242.84046594230222,0.0,0.0,0.0,5.652467383043813e-13,242.84046594230165,0.0,0.0,0.0,0.0,0.0,4.6629367034256575e-15,0,0,0.0,7.999999999999999,4.399999999999999,-1.7763568394002505e-15,2.0564088914585774
2026-02-10,B1,1824.7566240697422,53.6276157164067,2100.24,488.512944,0.0,0.0,2642.3805597164064,56.0,2.7088,2.7088,0.0,0.0,0.0,0,0,0.31585074658396284,7.999999999999999,1.4618938793041212,-2.9381061206958794,0.5469544457292888
2026-02-10,Oracle,2276.3322663118734,1.1590091429136713,2275.17325716896,689.5840368475052,663.6813686192736,8.400931371329673,2293.834003168776,95.94340043879113,9.803167986450228,4.060599561208871,0.0,5.742568425241358,0.0565995612088708,82,4,0.0,3.7444361564720214,0.05705223447050386,-4.342947765529496,0.00707494515110885
2026-02-11,B0,287.25879336210085,110.58414170623372,0.0,0.0,0.0,3.2966296359404625e-13,110.5841417062334,0.0,0.0,0.0,0.0,0.0,2.1094237467877974e-15,0,0,0.0,7.999999999999999,4.399999999999997,-3.552713678800501e-15,1.843908891458577
2026-02-11,B1,2240.92,0.0,1448.24,654.4195222655885,140.4132537344115,0.0,1962.2462685311773,68.0,5.2036,4.056599561208871,0.0,1.147000438791129,0.0,16,0,-8.673617379884035e-19,4.4,-8.673617379884035e-19,-4.4,0.0
2026-02-11,Oracle,1542.7025137118535,69.88551564728499,1472.8169980645685,461.01253955312325,474.0486454600326,0.0,1529.666407804944,92.6243644341657,8.301955785264868,4.0,0.0,4.301955785264869,0.0,53,0,0.0,5.24281388112488,0.06139084362687642,-4.338609156373124,0.4219544457292887
2026-02-12,B0,182.20997010994603,-50.56612529760655,0.0,0.0,0.0,1.0643985692837532e-13,-50.56612529760665,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-16,0,0,0.0,7.999999999999999,4.4,0.0,0.9219544457292886
2026-02-12,B1,1480.2880153721962,-20.38787763629665,462.08,108.75700799999998,0.0,0.0,550.4491303637033,64.0,0.9116000000000002,0.9116000000000002,0.0,0.0,0.0,0,0,3.3498401296356866,6.5079137345596845,3.4112309732625636,-0.9887690267374367,0.25
2026-02-12,Oracle,501.36669223159834,34.74724168970371,466.6194505418946,352.9833776404474,7.0700013555220895,0.0,847.2800685165236,85.42144857392883,3.2747794747695105,3.209485500813957,0.0,0.06529397395555332,0.0,3,0,0.0,5.539574747420801,0.9188242047304451,-3.4811757952695555,0.7336295005781798
2026-02-13,B0,172.70506895374874,167.09234270372798,0.0,0.0,0.0,2.6232904737355514e-14,167.09234270372795,0.0,0.0,0.0,0.0,0.0,3.885780586188048e-16,0,0,0.0,7.999999999999999,4.4,0.0,1.1344544457292884
2026-02-13,B1,423.06051794013837,93.82213198682334,142.84,11.367256,0.0,0.0,248.02938798682334,24.0,0.09040000000000001,0.09040000000000001,0.0,0.0,0.0,0,0,2.4580385416073876,7.999999999999999,4.301947433065965,-0.09805256693403575,0.8398795005781797
2026-02-13,Oracle,433.3924789919154,198.7551882195164,234.637290772399,4144.1514309633085,1943.018167259798,349.44742438073825,2285.0783183146877,83.3686442874332,8.450077580911273,6.797186385856674,1.1463999999999999,0.5064911950545997,3.5790430662274506,25,10,0.0,3.9373263859722067,0.9094334817339141,-3.4905665182660863,0.9430839463074685
2026-02-14,B0,308.8448311898931,73.96121807456016,0.0,0.0,0.0,9.2184038180676e-14,73.96121807456008,0.0,0.0,0.0,0.0,0.0,1.6653345369377348e-15,0,0,0.0,7.999999999999999,4.399999999999997,-3.552713678800501e-15,1.843908891458577
2026-02-14,B1,333.03198760362193,80.56333881444684,23.56,28.976768,0.0,18.002376000000012,115.09773081444682,4.0,0.19319999999999998,0.19319999999999998,0.0,0.0,0.19320000000000082,0,1,0.0,7.999999999999999,4.399999999999997,-3.552713678800501e-15,1.843908891458577
2026-02-14,Oracle,789.224163532551,60.20965962220936,729.0145039103415,1060.454184,204.08126041946545,269.9700013162969,1375.6270857967884,91.57461866049941,8.293753263648465,6.4132,0.0,1.8805532636484668,2.356600438791128,27,6,0.0,6.1929692863705945,0.0,-4.4,0.4148795005781799
2026-02-15,B0,154.87982129383926,106.0280097468465,0.0,0.0,0.0,8.27538038095099e-14,106.02800974684641,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,0,0,0.0,7.999999999999999,4.399999999999999,-1.7763568394002505e-15,1.3657044457292886
2026-02-15,B1,710.4855048194445,-23.308802770456253,45.0,1390.320008,0.0,310.67961570247047,1101.3315895270732,16.0,5.2544,5.2544,0.0,0.0,2.8787644341656904,0,3,0.0,7.999999999999999,1.8232614454664051,-2.5767385545335952,1.0687499999999999
2026-02-15,Oracle,360.82219928412525,334.29940750464584,26.522791779479352,4912.873049332834,667.0802052499997,723.1369030511814,3883.4781403157785,32.04543424946092,12.051615561076106,10.138615561076106,1.5239999999999996,0.38899999999999996,8.921369614136328,21,10,0.0,5.6461205603063505,3.0797113972622476,-1.3202886027377527,1.453204445729289
2026-02-16,B0,340.2676182641794,-120.49666225315502,0.0,0.0,0.0,3.800570969048067e-14,-120.49666225315507,0.0,0.0,0.0,0.0,0.0,4.510281037539698e-16,0,0,0.0,8.0,4.399999999999997,-3.552713678800501e-15,1.559454445729289
