family,block,arm,comparator,metric,mean_loss_difference_a_minus_b,dm_statistic,p_value,newey_west_lags,n_valid_days,confidence_lower,confidence_upper,confidence_level,block_days,bootstrap_repetitions,bootstrap_seed
joint_surface,all,surface_full4,own_pooled__gaussian,energy_score,0.022046322882615974,2.671030984845811,0.00756186662448544,6,211,0.0052125093231454684,0.03875095864517101,0.95,7,2000,1
joint_surface,all,surface_full4,own_pooled__gaussian,variogram_score,-3.451567618930294,-1.9072689421614768,0.056485769855955256,6,211,-7.152365133402246,-0.00917375420931697,0.95,7,2000,1
joint_surface,all,surface_full4,own_pooled__empirical,energy_score,-0.0007982248294164919,-0.06963447774839404,0.9444845942610665,6,211,-0.021296290941822935,0.0240146844460789,0.95,7,2000,1
joint_surface,all,surface_full4,own_pooled__empirical,variogram_score,1.414266121543226,0.6982577045741902,0.48501604487773986,6,211,-2.5624567938296314,5.517688527953391,0.95,7,2000,1
joint_surface,all,surface_full4,own_pooled__independent,energy_score,-0.013528119922467602,-1.3749150126895695,0.16915779439323997,6,211,-0.03187301002292643,0.005698963667589708,0.95,7,2000,1
joint_surface,all,surface_full4,own_pooled__independent,variogram_score,-26.13478850386318,-4.459332940378208,8.221512581977492e-06,6,211,-37.94743395447423,-14.996909808191013,0.95,7,2000,1
joint_surface,all,surface_full4,surface_prices2,energy_score,0.0005883878217622276,0.1003346087532326,0.9200786823012423,6,211,-0.010941874258541059,0.011797482262625891,0.95,7,2000,1
joint_surface,all,surface_full4,surface_prices2,variogram_score,1.7834510363084883,1.1879468105386508,0.23485436577060903,6,211,-1.189325710905606,4.5444979714570914,0.95,7,2000,1
joint_surface,all,surface_prices2,own_pooled__empirical,energy_score,-0.0013866126511787205,-0.12124456201717296,0.9034973290552304,6,211,-0.021555398526143323,0.02334087504971935,0.95,7,2000,1
joint_surface,all,surface_prices2,own_pooled__empirical,variogram_score,-0.36918491476526244,-0.18675692524296708,0.851851221302255,6,211,-4.085199708723462,3.620173490090857,0.95,7,2000,1
joint_surface,prices,surface_full4,own_pooled__gaussian,energy_score,0.02918204623526039,3.595756933413586,0.0003234497077337574,6,211,0.012548899824025734,0.04427561876031902,0.95,7,2000,1
joint_surface,prices,surface_full4,own_pooled__gaussian,variogram_score,-2.6793264876464034,-2.273192217746955,0.023014599070516686,6,211,-5.002373450159823,-0.32881133958685577,0.95,7,2000,1
joint_surface,prices,surface_full4,own_pooled__empirical,energy_score,0.005466898426868941,0.7406791300780445,0.4588880163150788,6,211,-0.010566473275811783,0.018702158718432085,0.95,7,2000,1
joint_surface,prices,surface_full4,own_pooled__empirical,variogram_score,1.9908811478876627,2.186697175391145,0.028764637955938085,6,211,0.05459288692979833,3.7423282400657905,0.95,7,2000,1
