seed,arm,block,energy_score,variogram_score,mean_valid_dimensions,n_days
1,own_pooled__empirical,activation,3.1003683065832726,140.3362161419092,24.0,211
1,own_pooled__empirical,all,5.111514644662206,998.2359742364046,72.0,211
1,own_pooled__empirical,four_targets_observed,5.924430413103791,1645.038506473874,94.54976303317535,211
1,own_pooled__empirical,prices,3.826245077289508,374.1074547805883,48.0,211
1,own_pooled__gaussian,activation,3.1152493998561317,142.1471616682787,24.0,211
1,own_pooled__gaussian,all,5.092406657342914,1002.5249286286275,72.0,211
1,own_pooled__gaussian,four_targets_observed,5.910471127290166,1653.1163440661953,94.54976303317535,211
1,own_pooled__gaussian,prices,3.8068940906046134,378.254693515546,48.0,211
1,own_pooled__independent,activation,3.126916945054619,142.71478083452865,24.0,211
1,own_pooled__independent,all,5.132698339523507,1027.0793326922103,72.0,211
1,own_pooled__independent,four_targets_observed,5.960875516964111,1684.2876801288621,94.54976303317535,211
1,own_pooled__independent,prices,3.8716909252458986,401.19216826647397,48.0,211
1,surface_full4,activation,3.0825283576092968,139.5741389565534,24.0,211
1,surface_full4,all,5.1076748154872345,999.1357689396351,72.0,211
1,surface_full4,four_targets_observed,5.929794463926469,1650.8481494944651,94.54976303317535,211
1,surface_full4,prices,3.8320939617352066,376.1980963637435,48.0,211
1,surface_prices2,activation,3.0996191807024727,140.57455391577398,24.0,211
1,surface_prices2,all,5.118460393001743,999.3884984484977,72.0,211
1,surface_prices2,four_targets_observed,5.937666373128274,1652.9835967220608,94.54976303317535,211
1,surface_prices2,prices,3.8342309111704957,375.5340901285978,48.0,211
2,own_pooled__empirical,activation,3.0940884550045253,139.94350221891884,24.0,211
2,own_pooled__empirical,all,5.107318567519114,995.0307101005857,72.0,211
2,own_pooled__empirical,four_targets_observed,5.922747386638801,1643.0706360646564,94.54976303317535,211
2,own_pooled__empirical,prices,3.8191452615465655,373.0256034153961,48.0,211
2,own_pooled__gaussian,activation,3.1143062876046366,141.82824764703832,24.0,211
2,own_pooled__gaussian,all,5.092389147532788,1003.4620508283696,72.0,211
2,own_pooled__gaussian,four_targets_observed,5.919450207806227,1657.359837248034,94.54976303317535,211
2,own_pooled__gaussian,prices,3.802489173679131,379.03691106992903,48.0,211
2,own_pooled__independent,activation,3.113978639422496,141.96194866149418,24.0,211
2,own_pooled__independent,all,5.1287845873163045,1026.8565375568744,72.0,211
2,own_pooled__independent,four_targets_observed,5.953546532167495,1684.1178823059174,94.54976303317535,211
2,own_pooled__independent,prices,3.8732483145001066,401.91422403617673,48.0,211
2,surface_full4,activation,3.0895317687684516,140.1834289768506,24.0,211
2,surface_full4,all,5.122922538946729,1001.4120960920131,72.0,211
2,surface_full4,four_targets_observed,5.945376457958671,1654.838455094944,94.54976303317535,211
2,surface_full4,prices,3.8422725645096456,377.01344667016923,48.0,211
2,surface_prices2,activation,3.092710379218001,140.08152077753343,24.0,211
2,surface_prices2,all,5.111581136237747,997.2235705140091,72.0,211
2,surface_prices2,four_targets_observed,5.926043099701523,1647.3197512530326,94.54976303317535,211
2,surface_prices2,prices,3.825139512954638,374.7071822044557,48.0,211
3,own_pooled__empirical,activation,3.1095079745281864,140.86106332363536,24.0,211
3,own_pooled__empirical,all,5.1326276023526205,1002.6627588413425,72.0,211
3,own_pooled__empirical,four_targets_observed,5.942882811826138,1652.4590783520134,94.54976303317535,211
3,own_pooled__empirical,prices,3.8474651066156595,376.04218405224975,48.0,211
3,own_pooled__gaussian,activation,3.113748019376489,141.81465605685042,24.0,211
3,own_pooled__gaussian,all,5.098131366522141,1004.5399649427561,72.0,211
3,own_pooled__gaussian,four_targets_observed,5.915691402992241,1655.8717762300178,94.54976303317535,211
3,own_pooled__gaussian,prices,3.8123267377428145,379.89426056936145,48.0,211
3,own_pooled__independent,activation,3.11630901666127,141.97158176944288,24.0,211
3,own_pooled__independent,all,5.128167572973282,1024.640736805467,72.0,211
3,own_pooled__independent,four_targets_observed,5.956354876830246,1681.6492619959197,94.54976303317535,211
3,own_pooled__independent,prices,3.8689730884528646,400.6881588515975,48.0,211
3,surface_full4,activation,3.0883492090698303,140.21811403572107,24.0,211
3,surface_full4,all,5.118468785611728,999.6243765113139,72.0,211
3,surface_full4,four_targets_observed,5.934217923642507,1651.459810123806,94.54976303317535,211
3,surface_full4,prices,3.8348896144874876,375.9363426579845,48.0,211
3,surface_prices2,activation,3.0916914423839468,140.60092178648824,24.0,211
3,surface_prices2,all,5.117259447340915,998.2098194715302,72.0,211
3,surface_prices2,four_targets_observed,5.932131381446838,1649.5421074104324,94.54976303317535,211
3,surface_prices2,prices,3.833383719510018,375.2720529069655,48.0,211
