seed,arm,metric,target_x,target_y,lag_hours_y_after_x,observed_value,scenario_value,difference,n_observed_pairs,n_scenario_pairs
1,own_pooled__empirical,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384151,0.9193625592587342,-0.017021850679680872,4853,485300
1,own_pooled__empirical,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.7711351302892937,-0.012142974467844514,4853,485300
1,own_pooled__empirical,spearman_rho,activation_volume,activation_volume,1,0.46886524499604004,0.4169976741830306,-0.05186757081300947,4853,485300
1,own_pooled__empirical,spearman_rho,activation_price,activation_price,1,0.6420283903589196,0.5258014912871971,-0.11622689907172246,4363,485300
1,own_pooled__empirical,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.32624407582938386,0.06786143283135626,507,50640
1,surface_prices2,spearman_rho,day_ahead_price,capacity_price,0,0.40412428709866505,0.3913847878992084,-0.012739499199456661,5064,506400
1,surface_prices2,spearman_rho,day_ahead_price,capacity_price,1,0.37191554000304194,0.3559555145446915,-0.015960025458350457,4853,485300
1,surface_prices2,spearman_rho,day_ahead_price,activation_volume,0,-0.14447317533750653,-0.09564987486312163,0.048823300474384906,5064,506400
1,surface_prices2,spearman_rho,day_ahead_price,activation_volume,1,-0.18818550289917593,-0.12372878478648575,0.06445671811269019,4853,485300
1,surface_prices2,spearman_rho,day_ahead_price,activation_price,0,0.6047034386466197,0.3570637877541719,-0.24763965089244777,4758,506400
1,surface_prices2,spearman_rho,day_ahead_price,activation_price,1,0.5608576248905536,0.33163448999438144,-0.22922313489617213,4552,485300
1,surface_prices2,spearman_rho,capacity_price,activation_volume,0,-0.04987933514061485,-0.02216003731427002,0.02771929782634483,5064,506400
1,surface_prices2,spearman_rho,capacity_price,activation_volume,1,-0.04571657867105762,-0.03721056012276364,0.008506018548293977,4853,485300
1,surface_prices2,spearman_rho,capacity_price,activation_price,0,0.2959448492751495,0.19146227265250107,-0.10448257662264845,4758,506400
1,surface_prices2,spearman_rho,capacity_price,activation_price,1,0.2725683509800638,0.16320718782384608,-0.10936116315621774,4552,485300
1,surface_prices2,spearman_rho,activation_volume,activation_price,0,0.19322489565029485,0.28220144179393125,0.0889765461436364,4758,506400
1,surface_prices2,spearman_rho,activation_volume,activation_price,1,0.0510816303376622,0.10783164349059972,0.05675001315293752,4552,485300
1,surface_prices2,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384151,0.90722648417047,-0.02915792576794507,4853,485300
1,surface_prices2,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.7609580066596595,-0.022320098097478702,4853,485300
1,surface_prices2,spearman_rho,activation_volume,activation_volume,1,0.46886524499604004,0.4128183645552141,-0.05604688044082595,4853,485300
1,surface_prices2,spearman_rho,activation_price,activation_price,1,0.6420283903589196,0.49075801771933536,-0.1512703726395842,4363,485300
1,surface_prices2,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.3311216429699842,0.0727389999719566,507,50640
1,surface_full4,spearman_rho,day_ahead_price,capacity_price,0,0.40412428709866505,0.3990966239025246,-0.005027663196140453,5064,506400
1,surface_full4,spearman_rho,day_ahead_price,capacity_price,1,0.37191554000304194,0.36510930864425417,-0.006806231358787773,4853,485300
1,surface_full4,spearman_rho,day_ahead_price,activation_volume,0,-0.14447317533750653,-0.0993283116624944,0.04514486367501214,5064,506400
1,surface_full4,spearman_rho,day_ahead_price,activation_volume,1,-0.18818550289917593,-0.12657255719679195,0.06161294570238399,4853,485300
1,surface_full4,spearman_rho,day_ahead_price,activation_price,0,0.6047034386466197,0.3498631158148406,-0.2548403228317791,4758,506400
1,surface_full4,spearman_rho,day_ahead_price,activation_price,1,0.5608576248905536,0.327165150273616,-0.2336924746169376,4552,485300
1,surface_full4,spearman_rho,capacity_price,activation_volume,0,-0.04987933514061485,-0.023112200043281794,0.026767135097333056,5064,506400
1,surface_full4,spearman_rho,capacity_price,activation_volume,1,-0.04571657867105762,-0.037066760163350844,0.008649818507706776,4853,485300
1,surface_full4,spearman_rho,capacity_price,activation_price,0,0.2959448492751495,0.1901170027058401,-0.10582784656930944,4758,506400
1,surface_full4,spearman_rho,capacity_price,activation_price,1,0.2725683509800638,0.1618832474996362,-0.11068510348042762,4552,485300
1,surface_full4,spearman_rho,activation_volume,activation_price,0,0.19322489565029485,0.2794013626031803,0.08617646695288547,4758,506400
1,surface_full4,spearman_rho,activation_volume,activation_price,1,0.0510816303376622,0.10035183310935997,0.04927020277169777,4552,485300
1,surface_full4,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384151,0.9084291958346203,-0.027955214103794757,4853,485300
1,surface_full4,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.7597397865798321,-0.023538318177306117,4853,485300
1,surface_full4,spearman_rho,activation_volume,activation_volume,1,0.46886524499604004,0.4162297518571391,-0.052635493138900924,4853,485300
1,surface_full4,spearman_rho,activation_price,activation_price,1,0.6420283903589196,0.485771706859618,-0.15625668349930155,4363,485300
1,surface_full4,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.33270142180094786,0.07431877880292026,507,50640
2,own_pooled__independent,spearman_rho,day_ahead_price,capacity_price,0,0.40412428709866505,0.21823466619475582,-0.18588962090390923,5064,506400
2,own_pooled__independent,spearman_rho,day_ahead_price,capacity_price,1,0.37191554000304194,0.18123397741282035,-0.1906815625902216,4853,485300
2,own_pooled__independent,spearman_rho,day_ahead_price,activation_volume,0,-0.14447317533750653,-0.11042112003728273,0.0340520553002238,5064,506400
2,own_pooled__independent,spearman_rho,day_ahead_price,activation_volume,1,-0.18818550289917593,-0.13893849939803743,0.0492470035011385,4853,485300
2,own_pooled__independent,spearman_rho,day_ahead_price,activation_price,0,0.6047034386466197,0.11979009329765629,-0.4849133453489634,4758,506400
2,own_pooled__independent,spearman_rho,day_ahead_price,activation_price,1,0.5608576248905536,0.09901772288085377,-0.4618399020096998,4552,485300
2,own_pooled__independent,spearman_rho,capacity_price,activation_volume,0,-0.04987933514061485,-0.04693637860667808,0.0029429565339367733,5064,506400
2,own_pooled__independent,spearman_rho,capacity_price,activation_volume,1,-0.04571657867105762,-0.06574906396106296,-0.020032485290005342,4853,485300
2,own_pooled__independent,spearman_rho,capacity_price,activation_price,0,0.2959448492751495,0.08396924777935214,-0.2119756014957974,4758,506400
2,own_pooled__independent,spearman_rho,capacity_price,activation_price,1,0.2725683509800638,0.060452926855956775,-0.21211542412410705,4552,485300
2,own_pooled__independent,spearman_rho,activation_volume,activation_price,0,0.19322489565029485,-0.02029321080068699,-0.21351810645098185,4758,506400
2,own_pooled__independent,spearman_rho,activation_volume,activation_price,1,0.0510816303376622,-0.015747261480559428,-0.06682889181822163,4552,485300
2,own_pooled__independent,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384151,0.460861450352224,-0.4755229595861911,4853,485300
2,own_pooled__independent,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.4254120172770296,-0.3578660874801086,4853,485300
2,own_pooled__independent,spearman_rho,activation_volume,activation_volume,1,0.46886524499604004,0.11352569607069463,-0.3553395489253454,4853,485300
2,own_pooled__independent,spearman_rho,activation_price,activation_price,1,0.6420283903589196,0.11912727960368132,-0.5229011107552383,4363,485300
