delivery_day,strategy,planned_profit_eur,base_terminal_soc_deviation_mwh,exclusivity_violations,energy_eur,capacity_eur,activation_eur,shortfall_cost_eur,schedule_gap_cost_eur,recovery_cost_eur,total_eur,committed_mw_hours,required_activation_mwh,delivered_activation_mwh,reserve_power_gap_mwh,reserve_energy_gap_mwh,day_ahead_gap_mwh,recovery_grid_mwh,max_committed_gross_power_mw,max_realised_gross_power_mw,slots_with_shortfall,slots_with_schedule_gap,activation_during_charge_slots,recovery_during_discharge_slots,recovery_during_activation_slots,recovery_overlap_slots,min_soc_mwh,max_soc_mwh,terminal_soc_mwh,terminal_soc_deviation_mwh,cycles,aggregation_quarter_total_eur,aggregation_hourly_total_eur,aggregation_cost_eur
2026-01-28,B2_F01,2784.853013655961,0.0,0,159.83469851620777,3500.19150096392,4747.7867483602995,58.05582220231603,0.0,600.1810917499998,7749.576033888113,84.71961619342989,7.804950682530601,7.066700797195914,0.21639999999999993,0.5218498853346875,0.0,8.31376564267525,4.0,4.0,2,0,4,1,12,16,3.611740270360152,8.000000001000004,4.399999999000003,-9.99997418205112e-10,0.4219544457292888,7143.52152081649,7143.52152081649,0.0
2026-01-28,B2_F08,1654.9066413627945,0.0,0,190.65068655144952,3618.912386526413,5049.015843289823,63.15480342745131,0.0,879.6153097876008,7915.808803152633,88.65302847436061,9.53623421648603,8.730838385205397,0.21639999999999993,0.5889958312806337,0.0,10.271574570829875,4.0,4.0,2,0,4,4,19,23,3.530239497357683,8.000000001000002,4.399999999999998,-2.6645352591003757e-15,0.4219544457292888,7143.52152081649,7143.52152081649,0.0
2026-01-28,oracle_price_reserve,3846.1471785427934,0.0,0,204.5668667132063,3641.5803118295867,3807.1421157007903,0.00010120999986021472,0.0,622.6784655235138,7030.610727510069,84.68169251455555,5.717834302589979,5.71783330258998,0.0,9.999999986188592e-07,0.0,6.726862708929389,4.000000000000001,4.0,0,0,2,4,13,15,3.98240934363489,8.000000001,4.3999999999999995,-8.881784197001252e-16,0.42195444572928875,7143.52152081649,7143.52152081649,0.0
2026-01-28,perfect_quarter_price,3747.7600000000007,0.0,0,0.0,3747.7599999999998,3651.9055692900006,5.356999996288192e-05,0.0,256.14399490351025,7143.52152081649,68.0,4.5283999999999995,4.528399,0.0,9.999999993071107e-07,0.0,5.327528235294119,4.0,4.0,0,0,0,0,4,4,4.338609155373124,8.000000001,4.400000000000001,8.881784197001252e-16,0.0,7143.52152081649,7143.52152081649,0.0
2026-01-29,B2_F01,1992.6857902165855,0.0,0,130.26034835207506,1810.9397818017203,5943.5354496545315,8.705999996051852e-05,0.0,863.2893871570707,7021.446105591256,80.65302847436061,7.196437227428893,7.196436227428893,0.0,9.999999995465025e-07,0.0,8.466395561681052,4.0,4.0,0,0,4,2,20,24,3.8869599421946814,8.000000001,4.400000000000001,8.881784197001252e-16,0.4219544457292888,7352.177298694619,7352.177298694619,0.0
2026-01-29,B2_F08,2289.3781432755386,0.0,0,0.0,1863.4399999999998,6180.138621500001,0.00020670999927156265,0.0,561.2246502689665,7482.3537645210345,96.0,8.6892,8.689199000000004,0.0,9.99999996476042e-07,0.0,10.222587058823535,4.0,4.0,0,0,0,0,10,10,3.8869599421946837,8.000000001000004,4.400000000000004,3.552713678800501e-15,0.0,7352.177298694619,7352.177298694619,0.0
2026-01-29,oracle_price_reserve,1952.9036821919249,0.0,0,137.44076601988706,1815.4629161720381,5062.218261953569,52.372810343453295,0.0,1470.904021296887,5491.845112505154,88.58644075529136,7.271477849907248,6.9129681089329065,0.0,0.358509740974342,0.0,8.132903657568125,4.0,4.0,2,0,5,4,21,27,3.725327064680736,8.000000001,4.400000000000002,1.7763568394002505e-15,0.4219544457292888,7352.177298694619,7352.177298694619,0.0
2026-01-29,perfect_quarter_price,1841.3999999999999,0.0,0,0.0,1841.4,5931.493589969999,0.0011180300006527809,0.0,420.71517324537973,7352.177298694619,68.0,6.7172,6.717198999999999,0.0,1.0000000005838672e-06,0.0,7.902587058823528,4.0,4.0,1,0,0,0,9,9,3.886959942194681,8.000000001,4.4,0.0,0.0,7352.177298694619,7352.177298694619,0.0
2026-01-30,B2_F01,3224.044529235393,0.0,0,70.85458784887328,1270.8496399537455,1666.4528166388448,2.5500000012057544e-05,0.0,768.250977539755,2239.9060414017085,88.68096399537455,9.909198766553363,9.909197766553362,0.0,1.0000000004728449e-06,0.0,11.657879725356896,4.0,4.0,1,0,0,4,26,26,4.264852799714777,8.000000001,4.399999999999999,-1.7763568394002505e-15,0.41487950057817985,1873.6923250779755,1823.7321763598384,49.96014871813691
2026-01-30,B2_F08,1841.4771821374752,0.0,0,83.45737474487903,1270.2668918802901,1512.1645271346144,2.5499999921463345e-05,0.0,718.8226979172144,2147.066070342569,88.65302847436061,8.756984986008316,8.756983986008319,0.0,9.999999969201312e-07,0.0,10.302334101186258,4.0,4.0,0,0,7,4,28,32,4.264852799714782,8.000000001,4.400000000000002,1.7763568394002505e-15,0.4219544457292888,1873.6923250779755,1823.7321763598384,49.96014871813691
2026-01-30,oracle_price_reserve,1358.867418211478,0.0,0,90.90491614996881,1267.9625020615094,1589.4965122608564,2.5499999966760445e-05,0.0,715.7121214841516,2232.6517834881834,88.49118899602718,9.288809084746989,9.28880808474699,0.0,9.99999998696488e-07,0.0,10.928009511467042,4.0,4.0,0,0,1,4,26,27,4.130485600206102,8.000000001,4.399999999999999,-1.7763568394002505e-15,0.4219544457292886,1873.6923250779755,1823.7321763598384,49.96014871813691
2026-01-30,perfect_quarter_price,1315.7901782185072,0.0,0,41.83017821850726,1273.96,745.8651636899997,2.550000002338182e-05,0.0,187.9629913305314,1873.6923250779753,60.0,3.5587999999999997,3.558798999999999,0.0,1.000000000916934e-06,0.0,4.186822352941174,4.0,4.0,1,0,0,0,9,9,4.332987855594392,8.000000001,4.4,0.0,0.375,1873.6923250779755,1823.7321763598384,49.96014871813691
2026-01-31,B2_F01,2122.2925129125165,0.0,0,0.0,369.52,205.8629388,3.5000000013635235e-05,0.0,46.3455753595171,529.0373284404828,96.0,1.7584,1.7583989999999996,0.0,1.0000000003895781e-06,0.0,2.068704705882352,4.0,4.0,1,0,0,0,2,2,4.338609155373123,5.35774844620517,4.3999999999999995,-8.881784197001252e-16,0.0,346.84803977300135,322.0668307704025,24.78120900259887
