delivery_day,strategy,planned_profit_eur,base_terminal_soc_deviation_mwh,exclusivity_violations,energy_eur,capacity_eur,activation_eur,shortfall_cost_eur,schedule_gap_cost_eur,recovery_cost_eur,total_eur,committed_mw_hours,required_activation_mwh,delivered_activation_mwh,reserve_power_gap_mwh,reserve_energy_gap_mwh,day_ahead_gap_mwh,recovery_grid_mwh,max_committed_gross_power_mw,max_realised_gross_power_mw,slots_with_shortfall,slots_with_schedule_gap,activation_during_charge_slots,recovery_during_discharge_slots,recovery_during_activation_slots,recovery_overlap_slots,min_soc_mwh,max_soc_mwh,terminal_soc_mwh,terminal_soc_deviation_mwh,cycles,aggregation_quarter_total_eur,aggregation_hourly_total_eur,aggregation_cost_eur
2026-01-28,F01_LEAR,2732.3732499706553,0.0,0,0.0,3747.7599999999998,3651.9055692900006,5.356999996288192e-05,0.0,256.14399490351025,7143.52152081649,68.0,4.5283999999999995,4.528399,0.0,9.999999993071107e-07,0.0,5.327528235294119,4.0,4.0,0,0,0,0,4,4,4.338609155373124,8.000000001,4.400000000000001,8.881784197001252e-16,0.0,7143.52152081649,7143.52152081649,0.0
2026-01-29,F01_LEAR,1923.4395635505664,0.0,0,0.0,1819.44,5932.3149452,0.00015540000010798584,0.0,421.23613324537973,7330.518656554621,68.0,6.726,6.725998999999999,0.0,1.0000000006948895e-06,0.0,7.912939999999999,4.0,4.0,1,0,0,0,10,10,3.886959942194681,8.000000001,4.400000000000001,8.881784197001252e-16,0.0,7352.177298694619,7352.177298694619,0.0
2026-01-30,F01_LEAR,3184.275382045254,0.0,0,0.0,1288.48,1303.0524356900005,2.5499999944111895e-05,0.0,345.3542565800852,2246.178153609915,72.0,6.6316,6.631599000000001,0.0,9.999999978083096e-07,0.0,7.801881176470589,4.0,4.0,0,0,0,0,8,8,4.337741433541849,7.647490807965919,4.399999999999999,-1.7763568394002505e-15,0.0,1873.6923250779753,1823.7321763598384,49.96014871813691
2026-01-31,F01_LEAR,2028.5161279525587,0.0,0,0.0,349.40000000000003,36.806563999999995,0.0,0.0,-3.2359277118020273,389.44249171180206,60.0,0.3464,0.3464,0.0,0.0,0.0,0.4075294117647058,4.0,1.0174138252667042,0,0,0,0,0,0,4.338609155373123,4.63450229983777,4.4,0.0,0.0,346.84803977300135,322.0668307704025,24.78120900259887
2026-02-01,F01_LEAR,533.8196424063301,0.0,0,5.628687038444028,276.47999999999996,395.47810859,6.69600000056425e-05,0.0,21.09343253533479,656.4932961331091,28.0,2.6532,2.653199,0.0,1.0000000000842668e-06,0.0,3.121410588235294,4.0,4.0,1,0,0,1,3,4,4.2366518401983555,8.000000001,4.400000000000001,8.881784197001252e-16,0.4148795005781799,747.9333896680529,740.1534622707682,7.779927397284723
2026-02-02,F01_LEAR,1641.3109908441784,0.0,0,-43.530635306034355,535.3199999999999,1025.0262479100002,0.00010318999997727991,0.0,242.35701936611903,1274.458490047847,68.0,4.937200000000001,4.937199,0.0,9.999999997798228e-07,0.0,5.808469411764708,4.0,4.0,0,0,0,1,4,5,4.4,8.000000001,4.400000000000002,1.7763568394002505e-15,0.4148795005781799,762.043461017797,709.3082820791774,52.73517893861958
2026-02-03,F01_LEAR,1150.2919126217705,0.0,0,40.40372943945985,683.8,2736.1224687599997,3.260120379999966,0.0,110.07337361451927,3346.9927042049403,64.0,3.9976000000000003,3.9475990000000007,0.050000000000000044,9.999999996922193e-07,0.0,4.644234116562407,4.0,4.0,1,0,0,0,2,2,3.6776226601161643,8.0,4.399999999000001,-9.999991945619513e-10,0.4148795005781799,2910.871211182002,2961.4697725374567,-50.598561355454876
2026-02-04,F01_LEAR,1018.6725871322491,0.0,0,0.0,898.8800000000001,639.8623061899998,1.433000001711704e-05,0.0,250.9746113793559,1287.7676804806438,64.0,4.4772,4.477198999999999,0.0,1.0000000011944898e-06,0.0,5.267292941176471,4.0,4.0,1,0,0,0,4,4,4.338609155373125,7.9452949470661025,4.400000000000002,1.7763568394002505e-15,0.0,1037.0783563325958,971.7023780514694,65.37597828112644
2026-02-05,F01_LEAR,926.7830491107359,0.0,0,123.12383107600522,521.88,832.1904235899999,1.7161246200000468,0.0,345.21707267863593,1130.2610573673692,52.0,5.6952,5.637999,0.05719999999999992,1.000000000396517e-06,0.0,6.632939998915346,4.0,4.0,2,0,0,0,14,14,4.338609154373121,8.0,4.399999998999999,-1.0000009709187907e-09,0.4148795005781799,816.1028456801532,797.59225743541,18.51058824474319
2026-02-06,F01_LEAR,905.3636205192338,0.0,0,101.12288927552628,379.28,522.5721692,6.0500000015173416e-05,0.0,172.30125880717284,830.6737391683533,44.0,3.0260000000000002,3.025999,0.0,1.0000000002508003e-06,0.0,3.5599988235294115,4.0,4.0,1,0,0,0,3,3,3.418498618535293,8.0,4.4,0.0,0.4219544457292888,654.2326643194261,649.1513546204914,5.081309698934774
