method,original_task,original_target_product,paper_reported,local_on_original_task,deviation_percent,verification_type,dk1_day_ahead_mae,dk1_capacity_mae,dk1_threshold_arm_eur,dk1_free_arm_eur,cross_market_mae_comparison,note
F01_LEAR_cw1092,EPF-DE day-ahead price forecasting,day-ahead electricity price,3.9298,3.9306346837068555,0.02010827675237653,point_level_reproduction_passed,25.457755667327984,12.271919658075234,461822.7720376021,527305.7336158976,prohibited,
F01_LEAR_cw1456,EPF-DE day-ahead price forecasting,day-ahead electricity price,3.9878,3.9888867665341086,0.026652049757550967,point_level_reproduction_passed,25.457755667327984,12.271919658075234,461822.7720376021,527305.7336158976,prohibited,
F01_LEAR_cw56,EPF-DE day-ahead price forecasting,day-ahead electricity price,4.2826,4.069440317697018,4.977448192903321,point_level_reproduction_failed,25.457755667327984,12.271919658075234,461822.7720376021,527305.7336158976,prohibited,"calibration windows [56] leave fewer effective training samples than the 247 LEAR features (n < p); the LassoLarsIC information-criterion path degenerates in the interpolating regime, so lambda selection depends on the scikit-learn build and is not portable across machines"
F01_LEAR_cw84,EPF-DE day-ahead price forecasting,day-ahead electricity price,4.1796,3.9832753171837676,4.698257577055026,point_level_reproduction_failed,25.457755667327984,12.271919658075234,461822.7720376021,527305.7336158976,prohibited,"calibration windows [84] leave fewer effective training samples than the 247 LEAR features (n < p); the LassoLarsIC information-criterion path degenerates in the interpolating regime, so lambda selection depends on the scikit-learn build and is not portable across machines"
F01_LEAR_ensemble,EPF-DE day-ahead price forecasting,day-ahead electricity price,3.6091,3.570274724673787,1.0753655276496443,point_level_reproduction_failed,25.457755667327984,12.271919658075234,461822.7720376021,527305.7336158976,prohibited,"calibration windows [56, 84] leave fewer effective training samples than the 247 LEAR features (n < p); the LassoLarsIC information-criterion path degenerates in the interpolating regime, so lambda selection depends on the scikit-learn build and is not portable across machines"
F08_LightGBM,none,none,,,,no_anchor,24.842061502441922,8.812461692474821,445054.8255783989,560782.1158239737,prohibited,method_paper_no_electricity_dataset
FB2_B3,,,,,,no_prior_work,,,,,,
